,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,4 BEDS,Studio,2+ BEDS
0,Bexley Crossing At Providence,https://www.rentcafe.com/apartments/nc/charlotte/bexley-crossing-at-providence/default.aspx,11215 Club Creek Lane,Charlotte,NC,5.00,28277,"$1,439+","$1,919+","$2,125+",,,
1,The Crossings At Alexander Place,https://www.rentcafe.com/apartments/nc/raleigh/the-crossings-at-alexander-place/default.aspx,7521 Windmill Harbor Way,Raleigh,NC,4.50,27617,"$1,356+","$1,508+","$1,994+",,,
2,South Square Townhomes,https://www.rentcafe.com/apartments/nc/durham/south-square-townhomes/default.aspx,3300 Shannon Rd,Durham,NC,4.50,27707,"$1,235+","$1,338+","$1,398+",,,
3,Lofts At North Hills,https://www.rentcafe.com/apartments/nc/raleigh/lofts-at-north-hills/default.aspx,214 Loft Lane,Raleigh,NC,4.50,27609,"$1,440+","$1,410","$1,745+",,,
4,6114 Hunter Ave,https://www.rentcafe.com/apartments/nc/charlotte/6114-hunter-ave/default.aspx,6114 Hunter Ave,Charlotte,NC,4.50,28262,"$1,440+","$1,410","$1,745+","$2,149",,
5,Meridian At Harrison Pointe,https://www.rentcafe.com/apartments/nc/cary/meridian-at-harrison-pointe/default.aspx,2000 Banyon Grove Loop,Cary,NC,4.50,27513,"$1,596","$1,817+",Ask for pricing,"$2,149",,
6,The Exchange At Brier Creek,https://www.rentcafe.com/apartments/nc/raleigh/the-exchange-at-briercreek/default.aspx,9240 Bruckhaus Street,Raleigh,NC,4.00,27617,"$1,375+","$1,714+",Ask for pricing,"$2,149","$1,363+",
7,Waterford Apartments,https://www.rentcafe.com/apartments/nc/spring-lake/waterford-apartments-1/default.aspx,801 Shell Drive,Spring Lake,NC,4.50,28390,"$1,210+","$1,425+",Ask for pricing,"$2,149","$1,363+",
8,Promenade Park,https://www.rentcafe.com/apartments/nc/charlotte/promenade-park/default.aspx,11115 Shadow Grove Cir,Charlotte,NC,4.50,28277,"$1,735+","$1,880+","$2,580+","$2,149","$1,363+",
9,904 West,https://www.rentcafe.com/apartments/nc/greenville/904-west0/default.aspx,904 Gabriel Dr.,Greenville,NC,4.50,27834,Ask for pricing,"$1,580+","$1,780","$2,149","$1,363+",
10,Hawthorne Commons,https://www.rentcafe.com/apartments/nc/wilmington/hawthorne-commons/default.aspx,818-102 Strickland Place,Wilmington,NC,5.00,28403,"$1,085+","$1,365","$1,780","$2,149","$1,363+",
11,Comet Garner,https://www.rentcafe.com/apartments/nc/garner/comet-garner/default.aspx,1500 Isner Lane,Garner,NC,5.00,27603,"$1,275+","$1,510+","$1,780","$2,149","$1,363+",
12,Abbington Place Apartment Homes,https://www.rentcafe.com/apartments/nc/greensboro/abbington-place-apartment-homes/default.aspx,1521 Bridford Pkwy,Greensboro,NC,3.50,27407,"$1,076+","$1,159+","$1,905+","$2,149","$1,363+",
13,Lakehurst Apartments,https://www.rentcafe.com/apartments/nc/spring-lake/lakehurst-apartments-1/default.aspx,1000 Riverbank Drive,Spring Lake,NC,3.50,28390,$900+,"$1,000+",Ask for pricing,"$2,149","$1,363+",
14,Springfield Apartments,https://www.rentcafe.com/apartments/nc/durham/springfield-apartments-8/default.aspx,4600 University Drive,Durham,NC,4.00,27707,"$1,471+","$1,000+",Ask for pricing,"$2,149","$1,305+",
15,The Villas At Avery Creek,https://www.rentcafe.com/apartments/nc/arden/the-villas-at-avery-creek/default.aspx,260 Amethyst Circle,Arden,NC,4.50,28704,"$1,471+","$1,000+",Ask for pricing,"$2,149","$1,305+",
16,The Harrison,https://www.rentcafe.com/apartments/nc/asheville/the-harrison1/default.aspx,257 Broadway Street,Asheville,NC,4.00,28801,"$1,698","$2,570",Ask for pricing,"$2,149","$1,504",
17,Hawthorne At Oak Ridge,https://www.rentcafe.com/apartments/nc/greensboro/hawthorne-at-oak-ridge/default.aspx,5855 Old Oak Ridge Road,Greensboro,NC,5.00,27410,"$1,029+","$1,394",Ask for pricing,"$2,149","$1,504",
18,Greenwood Village,https://www.rentcafe.com/apartments/nc/charlotte/greenwood-village0/default.aspx,101 Ramblelake Road,Charlotte,NC,3.50,28273,"$1,029+","$1,500","$1,500+","$2,149","$1,504",
19,Spring Forest At Deerfield,https://www.rentcafe.com/apartments/nc/mebane/spring-forest-at-deerfield0/default.aspx,100 Willow Brook Ct,Mebane,NC,5.00,27302,"$1,270+","$1,295+","$1,540+","$2,149","$1,504",
20,The Village Lofts,https://www.rentcafe.com/apartments/nc/greensboro/the-village-lofts/default.aspx,309-G Pisgah Church Road,Greensboro,NC,5.00,27455,Ask for pricing,"$1,673+","$2,273","$2,149","$1,504",
21,Holly Springs Place,https://www.rentcafe.com/apartments/nc/holly-springs/holly-springs-place0/default.aspx,1501 Hendricks Hill Ln,Holly Springs,NC,4.50,27540,"$1,271+","$1,699+","$2,273","$2,149","$1,504",
22,The Brooks On Eleven66,https://www.rentcafe.com/apartments/nc/spring-lake/the-brooks-on-eleven66/default.aspx,1166 Pine Knoll Dr.,Spring Lake,NC,3.50,28390,"$1,030","$1,180","$1,328+","$2,149","$1,504",
23,861 Franklin,https://www.rentcafe.com/apartments/nc/wake-forest/861-franklin0/default.aspx,861 S. Franklin St.,Wake Forest,NC,3.50,27587,"$1,030","$1,180","$2,500","$2,149","$1,504",
24,Kensington Place,https://www.rentcafe.com/apartments/nc/greensboro/kensington-place/default.aspx,3844 Battleground Ave,Greensboro,NC,3.50,27410,"$1,090",Ask for pricing,"$2,500","$2,149","$1,504",
