,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS
28,Summit Village Apartments,https://www.rentcafe.com/apartments/nc/greensboro/summit-village-apartments0/default.aspx,199 Wind Rd.,Greensboro,NC,4.00,27405,$890+,"$1,004+","$2,260+","$1,120+","$1,385+"
29,The Junction At Antiquity,https://www.rentcafe.com/apartments/nc/cornelius/junction-at-antiquity-0/default.aspx,22415 Market Street,Cornelius,NC,4.50,28031,"$1,568+","$1,728+","$2,008+","$1,120+","$1,385+"
30,The Gibson,https://www.rentcafe.com/apartments/nc/charlotte/the-gibson0/default.aspx,1000 Central Ave,Charlotte,NC,4.50,28204,"$1,622","$2,323","$2,008+","$1,120+","$1,385+"
31,Reserve At Bridford,https://www.rentcafe.com/apartments/nc/greensboro/1402-bridford-pkwy-greensboro-nc-27407/default.aspx,1402 Bridford Pkwy,Greensboro,NC,5.00,27407,"$1,146+","$1,750+","$1,871+","$1,120+","$1,385+"
32,600 Station Square,https://www.rentcafe.com/apartments/nc/greensboro/600-station-square/default.aspx,600 Coapman Street,Greensboro,NC,4.50,27407,"$1,199+","$1,650+","$1,871+","$1,120+","$1,385+"
33,"1329 Waybridge Lane Winston Salem, NC 27103",https://www.rentcafe.com/apartments/nc/winston-salem/1329-waybridge-lane-winston-salem-nc-27103/default.aspx,1329 Waybridge Lane,Winston-Salem,NC,4.50,27103,"$1,199+","$1,650+","$1,350","$1,120+","$1,385+"
34,Buckhead Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/buckhead-apartments/default.aspx,4428 Kinkead Court,Fayetteville,NC,4.50,28314,"$1,020+","$1,105","$1,350","$1,120+","$1,385+"
35,Link Apartments® Montford,https://www.rentcafe.com/apartments/nc/charlotte/link-apartments-174-montford/default.aspx,1615 Mockingbird Lane,Charlotte,NC,4.50,28209,"$1,444+","$1,886+","$1,350","$1,360+","$1,385+"
36,616 At The Village,https://www.rentcafe.com/apartments/nc/raleigh/616-at-the-village-0/default.aspx,616 Oberlin Road,Raleigh,NC,4.50,27605,"$1,750+","$1,886+","$1,350","$1,425+","$2,535+"
37,The Summit On 401,https://www.rentcafe.com/apartments/nc/fayetteville/the-summit-on-401/default.aspx,3325 Oak Forest Drive,Fayetteville,NC,4.00,28304,"$1,135+","$1,260+","$1,480+","$1,425+","$2,535+"
38,The Cottages At Knightdale Station,https://www.rentcafe.com/apartments/nc/knightdale/the-cottages-at-knightdale-station/default.aspx,1100 Cannonball Run,Knightdale,NC,4.50,27545,"$1,509","$1,750+",Ask for pricing,"$1,425+","$2,535+"
