,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,3+ BEDS,4 BEDS,5 BEDS
27,Highgate Townhomes,https://www.rentcafe.com/apartments/nc/durham/highgate-townhomes/default.aspx,100 Highgate Drive,Durham,NC,4.00,27713,Ask for pricing,$775,"$1,700",Ask for pricing,"$2,200+","$3,020+",,
28,Phillips Landing Apartments,https://www.rentcafe.com/apartments/nc/statesville/phillips-landing-apartments/default.aspx,501 Phillips Lane,Statesville,NC,4.50,28625,$915,"$1,075","$1,250",Ask for pricing,"$2,200+","$3,020+",,
29,1301-1305-1309 Byron St,https://www.rentcafe.com/apartments/nc/winston-salem/1301-1305-1309-byron-st/default.aspx,Byron Street,Winston-Salem,NC,4.50,27105,$915,$550,"$1,250",Ask for pricing,"$2,200+","$3,020+",,
30,MAA Ayrsley,https://www.rentcafe.com/apartments/nc/charlotte/maa-ayrsley/default.aspx,9005 Lenox Pointe Drive,Charlotte,NC,3.50,28273,"$1,258+","$1,448+","$1,803+",Ask for pricing,"$2,200+","$3,020+",,
31,146 E Bell Street,https://www.rentcafe.com/apartments/nc/statesville/146-e-bell-street/default.aspx,146 E Bell Street,Statesville,NC,3.50,28677,$800+,"$1,350","$1,803+",Ask for pricing,"$2,200+","$3,020+",,
32,Bedford Market,https://www.rentcafe.com/apartments/nc/raleigh/bedford-market/default.aspx,1540 Dunn Road,Raleigh,NC,3.50,27615,$800+,"$1,350","$1,803+",Ask for pricing,"$2,200+","$3,020+",,
33,Forest Wind Apartments,https://www.rentcafe.com/apartments/nc/kernersville/forest-winds-apartments0/default.aspx,Forest Winds Apts,Kernersville,NC,3.50,27284,$600,"$1,350","$1,803+",Ask for pricing,"$2,200+","$3,020+",,
34,MAA Chancellor Park,https://www.rentcafe.com/apartments/nc/charlotte/maa-chancellor-park/default.aspx,8215 University Ridge Drive,Charlotte,NC,4.50,28213,"$1,183+","$1,503+","$1,638+",Ask for pricing,"$2,200+","$3,020+",,
35,The Pointe At Irving Park,https://www.rentcafe.com/apartments/nc/greensboro/the-pointe-at-irving-park-0/default.aspx,3100 North Elm Street,Greensboro,NC,4.00,27408,"$1,183+","$1,503+","$1,638+",Ask for pricing,"$2,200+","$3,020+",,
36,Cinnamon Ridge,https://www.rentcafe.com/apartments/nc/greensboro/cinnamon-ridge1/default.aspx,18 Sails Way,Greensboro,NC,3.00,27406,$750,$850,"$1,638+",Ask for pricing,"$2,200+","$3,020+",,
37,Reserve At Arringdon,https://www.rentcafe.com/apartments/nc/morrisville/reserve-at-arringdon/default.aspx,5710 Arringdon Park Drive,Morrisville,NC,4.00,27560,"$1,373+","$1,533+",Ask for pricing,Ask for pricing,"$2,200+","$3,020+",,
38,MAA Duke Forest,https://www.rentcafe.com/apartments/nc/durham/maa-duke-forest/default.aspx,910 Constitution Drive,Durham,NC,3.00,27705,"$1,388+","$1,498+",Ask for pricing,Ask for pricing,"$2,200+","$3,020+",,
39,MAA 1225,https://www.rentcafe.com/apartments/nc/charlotte/maa-1225/default.aspx,1225 S Church St,Charlotte,NC,4.50,28203,"$1,653+","$1,498+",Ask for pricing,"$1,598+","$2,293+","$3,020+",,
40,850 Foxwood PLace,https://www.rentcafe.com/apartments/nc/winston-salem/850-foxwood-place/default.aspx,850 Foxwood Place,Winston-Salem,NC,4.50,27127,"$1,653+",$625+,Ask for pricing,"$1,598+","$2,293+","$3,020+",,
41,MAA Legacy Park,https://www.rentcafe.com/apartments/nc/charlotte/maa-legacy-park/default.aspx,8810 Legacy Park Drive,Charlotte,NC,5.00,28269,"$1,130+","$1,488+",Ask for pricing,"$1,598+","$2,293+","$3,020+",,
