,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS
0,198 Milltown Apartments,https://www.rentcafe.com/apartments/nc/burlington/198-milltown/default.aspx,198 Milltown Street,Burlington,NC,5.00,27215,"$1,335","$1,635","$1,890",,,
1,Residences At Shiloh Crossing,https://www.rentcafe.com/apartments/nc/morrisville/residences-at-shiloh-crossing/default.aspx,3000 Dominion Ridge Circle,Morrisville,NC,4.00,27560,"$1,544+","$1,635","$1,890","$1,567+","$1,913+",
2,Mission Triangle Point,https://www.rentcafe.com/apartments/nc/durham/mission-triangle-point/default.aspx,600 Discovery Way,Durham,NC,4.00,27703,"$1,231+","$1,396+",Ask for pricing,"$1,567+","$1,913+",
3,Osprey Cove North Apartments,https://www.rentcafe.com/apartments/nc/jacksonville/osprey-cove-north0/default.aspx,"118 Broadhurst Rd, #669",Jacksonville,NC,3.50,28540,$795,$895,Ask for pricing,"$1,567+","$1,913+",
4,Willow Bend Apartments,https://www.rentcafe.com/apartments/nc/durham/willow-bend-apartments0/default.aspx,1718 Palmer St.,Durham,NC,3.50,27707,$795,"$1,425","$1,700","$1,567+","$1,913+","$1,775"
5,Berkshire Village District,https://www.rentcafe.com/apartments/nc/raleigh/berkshire-cameron-village/default.aspx,2128 Clark Avenue,Raleigh,NC,4.00,27605,"$1,643+","$2,443+","$1,700","$1,370+","$1,913+","$1,775"
6,119 South,https://www.rentcafe.com/apartments/nc/mebane/119-south/default.aspx,3000 Bluebird Lane,Mebane,NC,4.50,27302,"$1,270+","$1,396+","$1,700","$1,370+","$1,913+","$1,775"
7,Chancery Village,https://www.rentcafe.com/apartments/nc/cary/chancery-village/default.aspx,25510 Burbage Cir,Cary,NC,5.00,27519,"$1,275+","$1,765+",Ask for pricing,"$1,370+","$1,913+","$1,775"
8,Villages At Pecan Grove,https://www.rentcafe.com/apartments/nc/holly-springs/villages-at-pecan-grove/default.aspx,4000 Penuche Way,Holly Springs,NC,5.00,27540,"$1,389+","$1,758+","$1,874+","$1,370+","$1,913+","$1,775"
9,Preston Ridge,https://www.rentcafe.com/apartments/nc/hickory/preston-ridge-0/default.aspx,2001 Startown Road,Hickory,NC,3.50,28602,"$1,117+","$1,607+",Ask for pricing,"$1,370+","$1,913+","$1,775"
10,Hawthorne At The Glen,https://www.rentcafe.com/apartments/nc/concord/hawthorne-at-the-glen/default.aspx,6255 Fernwood Drive,Concord,NC,3.50,28027,"$1,477+","$1,708+","$2,296+","$1,370+","$1,913+","$1,775"
11,Hawthorne At Parkside,https://www.rentcafe.com/apartments/nc/cary/hawthorne-parkside/default.aspx,5000 Green Landing Drive,Cary,NC,3.50,27519,"$1,545+","$1,854+","$2,524+","$1,370+","$1,913+","$1,775"
12,Bexley At Triangle Park,https://www.rentcafe.com/apartments/nc/cary/bexley-at-triangle-park/default.aspx,1200 Pickett Branch Road,Cary,NC,4.50,27519,"$1,199+","$1,499+","$1,999+","$1,370+","$1,913+","$1,775"
13,Arbor Village,https://www.rentcafe.com/apartments/nc/charlotte/arbor-village1/default.aspx,839 Shadow Elm Drive,Charlotte,NC,3.00,28209,"$1,121+","$1,634+","$1,999+","$1,370+","$1,913+","$1,775"
14,Bexley Commons At Rosedale,https://www.rentcafe.com/apartments/nc/huntersville/bexley-commons-at-rosedale/default.aspx,13255 Rosedale Hill Avenue,Huntersville,NC,4.50,28078,"$1,429+","$1,563+","$1,909+","$1,370+","$1,913+","$1,775"
15,The Links Rea Farms,https://www.rentcafe.com/apartments/nc/charlotte/the-links-rea-farms/default.aspx,7420 N Rea Park Ln,Charlotte,NC,4.00,28277,"$1,700+","$2,155+","$3,055+","$1,370+","$1,913+","$1,775"
16,2210 Cotton Dr,https://www.rentcafe.com/apartments/nc/tarboro/2210-cotton-dr0/default.aspx,2210 Cotton Dr,Tarboro,NC,4.00,27886,"$1,700+","$2,155+","$3,055+","$1,370+","$1,913+","$1,299"
17,Bentley Ridge,https://www.rentcafe.com/apartments/nc/durham/bentley-ridge/default.aspx,5523 NC Highway 55,Durham,NC,4.00,27713,"$1,336+","$2,155+","$3,055+","$1,370+","$1,913+","$1,299"
18,Ashton Reserve At NorthLake,https://www.rentcafe.com/apartments/nc/charlotte/ashton-reserve-at-northlake0/default.aspx,10320 Grobie Way,Charlotte,NC,3.50,28216,"$1,283+","$1,451+","$1,605+","$1,370+","$1,913+","$1,299"
19,Cottages On Elm,https://www.rentcafe.com/apartments/nc/fayetteville/cottages-on-elm/default.aspx,1000A Elm Street,Fayetteville,NC,4.50,28303,Ask for pricing,$920+,Ask for pricing,"$1,370+","$1,913+","$1,299"
