,name,link,address,city,state,ratings,zipcode,Studio,1 BED,2+ BEDS,2 BEDS,3 BEDS,4 BEDS
0,Tapestry University City Apartments,https://www.rentcafe.com/apartments/nc/charlotte/tapestry-university-city-apartments/default.aspx,5340 Periwinkle Hill Ave,Charlotte,NC,4.50,28213,"$1,515","$1,565+","$1,840+",,,
1,The Highlands,https://www.rentcafe.com/apartments/nc/charlotte/the-highlands-1/default.aspx,639 Archdale Dr.,Charlotte,NC,4.50,28217,"$1,515",Ask for pricing,"$1,840+","$1,140+",Ask for pricing,
2,The Reverie At Lake Boone,https://www.rentcafe.com/apartments/nc/raleigh/raleigh-lake-boone-llc/default.aspx,4131 Briargrove Circle,Raleigh,NC,4.00,27607,"$1,564+","$1,355+","$2,165+","$1,140+",Ask for pricing,
3,Spencer And Camel Court,https://www.rentcafe.com/apartments/nc/greensboro/spencer-and-camel-court/default.aspx,101 Spencer St,Greensboro,NC,4.00,27401,"$1,564+","$1,355+","$2,165+",$725,$725+,
4,Woodland Estates,https://www.rentcafe.com/apartments/nc/charlotte/woodland-estates-1/default.aspx,6147 Winged Elm Ct,Charlotte,NC,4.00,28212,"$1,564+","$1,206+","$2,165+","$1,532+",Ask for pricing,
5,Chason Ridge Apartment Homes,https://www.rentcafe.com/apartments/nc/fayetteville/chason-ridge-0/default.aspx,600 Scotia Ln,Fayetteville,NC,3.50,28314,"$1,564+",$995+,"$2,165+","$1,050+","$1,325+",
6,Tyvola Centre Apartments,https://www.rentcafe.com/apartments/nc/charlotte/tyvola-centre-apartments/default.aspx,625 Cameron Walk Court,Charlotte,NC,4.00,28217,"$1,564+","$1,453+","$2,165+","$1,750+","$2,071+",
7,Woods Edge Apartments,https://www.rentcafe.com/apartments/nc/asheville/woods-edge-apartments-0/default.aspx,98 Woodstream Lane,Asheville,NC,4.00,28803,"$1,564+",Ask for pricing,"$2,165+","$1,675+","$1,845+",
8,The Belmont,https://www.rentcafe.com/apartments/nc/durham/the-belmont-0/default.aspx,1000 Mcqueen Drive,Durham,NC,4.00,27705,"$1,564+",Ask for pricing,"$2,165+","$1,675+","$1,845+",
9,Ansley Park,https://www.rentcafe.com/apartments/nc/wilmington/ansley-park/default.aspx,3612 Beverly Cove Way,Wilmington,NC,4.00,28412,"$1,564+","$1,480","$2,165+","$1,900+","$2,280",
10,Hawk Ridge,https://www.rentcafe.com/apartments/nc/winston-salem/hawk-ridge0/default.aspx,400 Hawk Ridge Drive,Winston-Salem,NC,4.00,27103,"$1,564+","$1,480","$2,165+","$1,900+","$2,280",
11,708 Summit,https://www.rentcafe.com/apartments/nc/charlotte/708-summit/default.aspx,708 S Summit Ave,Charlotte,NC,3.50,28208,"$1,564+","$1,480","$2,165+","$1,900+","$2,280",
12,Colonial Village At Beaver Creek,https://www.rentcafe.com/apartments/nc/apex/colonial-village-at-beaver-creek/default.aspx,1000 Creekside Hills Drive,Apex,NC,4.00,27502,"$1,564+","$1,513+","$2,165+","$1,633+","$1,858+",
13,Legacy On Elm,https://www.rentcafe.com/apartments/nc/greensboro/legacy-on-elm0/default.aspx,8 Covey Lane,Greensboro,NC,4.00,27406,"$1,564+","$1,513+","$2,165+","$1,633+","$1,858+",
14,Tiffany Square,https://www.rentcafe.com/apartments/nc/rocky-mount/tiffany-square0/default.aspx,774 Tiffany Boulevard,Rocky Mount,NC,4.00,27804,"$1,564+",$960+,"$2,165+","$1,315+",Ask for pricing,
15,Lynnwood Park,https://www.rentcafe.com/apartments/nc/raleigh/lynnwood-park1/default.aspx,6200 North Hills Drive,Raleigh,NC,5.00,27609,"$1,564+","$1,350+","$2,165+","$1,545+",Ask for pricing,
16,Bridford Lake Apartments,https://www.rentcafe.com/apartments/nc/greensboro/bridford-lake-apartments/default.aspx,1150 Bridford Lake Circle,Greensboro,NC,5.00,27407,"$1,564+","$1,100+","$2,165+","$1,160","$1,595",
17,Ridge At Enderly Park,https://www.rentcafe.com/apartments/nc/charlotte/ridge-at-enderly-park/default.aspx,3001 Parkway Ave,Charlotte,NC,5.00,28208,"$1,564+",Ask for pricing,"$2,165+","$1,050","$1,595",
18,Lennox SouthPark,https://www.rentcafe.com/apartments/nc/charlotte/solis-southpark/default.aspx,4905 Ashley Park Lane,Charlotte,NC,4.50,28210,"$1,693+","$1,844+","$2,165+","$2,829+","$1,595",
19,Indigo Apartments,https://www.rentcafe.com/apartments/nc/morrisville/indigo-apartments1/default.aspx,100 Adelaide Circle,Morrisville,NC,3.50,27560,"$1,693+","$1,094+","$2,165+","$1,434+","$1,595",
20,The Forest Apartments,https://www.rentcafe.com/apartments/nc/greensboro/the-forest-apartments-1/default.aspx,402-H East Montcastle Drive,Greensboro,NC,4.00,27406,"$1,693+","$1,094+","$2,165+","$1,434+","$1,595",
21,Davidson Apartment Homes,https://www.rentcafe.com/apartments/nc/concord/davidson/default.aspx,100 Horizon Ct NW,Concord,NC,4.00,28027,$934+,"$1,074+","$1,218+","$1,434+","$1,595",
22,Tryon Farms,https://www.rentcafe.com/apartments/nc/charlotte/tryon-farms0/default.aspx,15120 Wylie Way,Charlotte,NC,4.00,28278,$934+,"$1,560+","$1,218+","$1,736+",Ask for pricing,
23,Rooney Ridge,https://www.rentcafe.com/apartments/nc/roanoke-rapids/rooney-ridge/default.aspx,114 Hunting Ridge Rd,Roanoke Rapids,NC,4.00,27870,$934+,"$1,560+","$1,218+","$1,736+",Ask for pricing,
24,723 Ruston Dr Se,https://www.rentcafe.com/apartments/nc/bolivia/723-ruston-dr-se/default.aspx,723 Ruston Dr Se,Bolivia,NC,4.00,28422,$934+,"$1,560+","$1,218+","$1,736+",Ask for pricing,"$1,899"
25,Alexander Station Apartment Homes,https://www.rentcafe.com/apartments/nc/salisbury/alexander-station-apartment-homes/default.aspx,200 Hamilton Dr,Salisbury,NC,4.00,28147,$945+,"$1,115+","$1,310+","$1,736+",Ask for pricing,"$1,899"
26,Arden,https://www.rentcafe.com/apartments/nc/charlotte/arden/default.aspx,3306 N Mcdowell Street,Charlotte,NC,4.00,28205,$945+,"$1,115+","$1,310+","$1,736+",Ask for pricing,"$1,899"
27,Sabal Point,https://www.rentcafe.com/apartments/nc/pineville/sabal-point/default.aspx,12512 Sabal Point Drive,Pineville,NC,5.00,28134,$945+,"$1,271+","$1,310+","$1,609+","$1,475+","$1,899"
28,Sunstone Apartments,https://www.rentcafe.com/apartments/nc/chapel-hill/sunstone-apartments/default.aspx,208 Conner Drive,Chapel Hill,NC,5.00,27514,$945+,"$1,277+","$1,310+","$1,500+","$1,475+","$1,899"
29,The Heritage At Arlington Apt Homes Phase I,https://www.rentcafe.com/apartments/nc/greenville/the-heritage-at-arlington-apt-homes-phase-i/default.aspx,2700 West Arlington Blvd,Greenville,NC,4.50,27834,$945+,"$1,103","$1,310+","$1,360",Ask for pricing,"$1,899"
30,1719 Fox Hollow Dr,https://www.rentcafe.com/apartments/nc/raleigh/1719-fox-hollow-dr-0/default.aspx,1719 Fox Hollow Dr,Raleigh,NC,4.50,27610,$945+,"$1,103","$1,310+","$1,250",Ask for pricing,"$1,899"
