,URL
105,https://www.yelp.com/biz/the-capital-grille-charlotte-2
106,https://www.yelp.com/biz/capishe-real-italian-kitchen-charlotte
107,https://www.yelp.com/biz/brasas-arepas-and-grill-charlotte-2
108,https://www.yelp.com/biz/jinya-ramen-bar-ally-charlotte-center-charlotte-2
109,https://www.yelp.com/biz/cheat-s-cheesesteak-parlor-charlotte
110,https://www.yelp.com/biz/mama-ricottas-charlotte-16
111,https://www.yelp.com/biz/eddie-vs-prime-seafood-charlotte-4
112,https://www.yelp.com/biz/ever-andalo-charlotte
113,https://www.yelp.com/biz/steak-48-charlotte
114,https://www.yelp.com/biz/early-girl-eatery-charlotte
115,https://www.yelp.com/biz/soul-gastrolounge-charlotte
116,https://www.yelp.com/biz/little-village-grill-charlotte-2
117,https://www.yelp.com/biz/village-tavern-charlotte
118,https://www.yelp.com/biz/white-duck-taco-shop-charlotte
119,https://www.yelp.com/biz/viva-chicken-charlotte
120,https://www.yelp.com/biz/nana-morrisons-soul-food-charlotte
121,https://www.yelp.com/biz/131-main-restaurant-charlotte-2
122,https://www.yelp.com/biz/fat-cat-burgers-and-bakeshop-charlotte
123,https://www.yelp.com/biz/puttery-charlotte-charlotte
124,https://www.yelp.com/biz/300-east-charlotte
125,https://www.yelp.com/biz/soul-central-charlotte-2
126,https://www.yelp.com/biz/cafe-monte-charlotte
127,https://www.yelp.com/biz/eddies-place-charlotte-4
128,https://www.yelp.com/biz/pacos-tacos-and-tequila-charlotte-3
129,https://www.yelp.com/biz/warmack-charlotte
130,https://www.yelp.com/biz/emmy-squared-pizza-plaza-midwood-charlotte-2
131,https://www.yelp.com/biz/coaltranes-char-grill-charlotte
132,https://www.yelp.com/biz/fahrenheit-charlotte-charlotte
133,https://www.yelp.com/biz/vinyl-charlotte
134,https://www.yelp.com/biz/the-roasting-company-charlotte-2
135,https://www.yelp.com/biz/lebowskis-neighborhood-grill-charlotte
136,https://www.yelp.com/biz/sabor-latin-street-grill-charlotte-6
137,https://www.yelp.com/biz/mckoys-smokehouse-and-saloon-charlotte
138,https://www.yelp.com/biz/lupies-cafe-charlotte
139,https://www.yelp.com/biz/fin-and-fino-charlotte
140,https://www.yelp.com/biz/soul-central-charlotte-2
141,https://www.yelp.com/biz/figo36-charlotte
142,https://www.yelp.com/biz/barcelona-wine-bar-charlotte-charlotte-2
143,https://www.yelp.com/biz/brewers-at-4001-yancey-charlotte-2
144,https://www.yelp.com/biz/taipei-express-charlotte
145,https://www.yelp.com/biz/snooze-an-a-m-eatery-charlotte
146,https://www.yelp.com/biz/co-charlotte
147,https://www.yelp.com/biz/the-workmans-friend-charlotte-2
148,https://www.yelp.com/biz/rai-lay-thai-charlotte
149,https://www.yelp.com/biz/dish-charlotte
150,https://www.yelp.com/biz/caribbean-hut-charlotte-2
151,https://www.yelp.com/biz/co-charlotte
152,https://www.yelp.com/biz/matties-diner-charlotte-2
153,https://www.yelp.com/biz/mal-pan-charlotte-2
154,https://www.yelp.com/biz/oh-my-soul-charlotte
155,https://www.yelp.com/biz/lincoln-street-kitchen-and-cocktails-charlotte
156,https://www.yelp.com/biz/caswell-station-charlotte-2
157,https://www.yelp.com/biz/meshugganah-charlotte
158,https://www.yelp.com/biz/ac-lounge-charlotte
159,https://www.yelp.com/biz/camp-north-end-charlotte
160,https://www.yelp.com/biz/camp-north-end-charlotte
161,https://www.yelp.com/biz/caribbean-hut-charlotte-2
162,https://www.yelp.com/biz/la-shish-kabob-charlotte
163,https://www.yelp.com/biz/redeye-diner-charlotte
164,https://www.yelp.com/biz/leroy-fox-south-end-charlotte
165,https://www.yelp.com/biz/rurus-tacos-tequila-charlotte-3
166,https://www.yelp.com/biz/snooze-eatery-charlotte-charlotte
167,https://www.yelp.com/biz/blue-orchid-charlotte
168,https://www.yelp.com/biz/omakase-by-primefish-charlotte
169,https://www.yelp.com/biz/euro-grill-and-cafe-charlotte
170,https://www.yelp.com/biz/deejai-thai-charlotte
171,https://www.yelp.com/biz/omakase-by-primefish-charlotte
172,https://www.yelp.com/biz/euro-grill-and-cafe-charlotte
173,https://www.yelp.com/biz/the-cooking-pot-charlotte
174,https://www.yelp.com/biz/superica-charlotte-6
175,https://www.yelp.com/biz/the-mayobird-charlotte-7
176,https://www.yelp.com/biz/baoding-charlotte
177,https://www.yelp.com/biz/que-onda-tacos-tequila-charlotte-11
178,https://www.yelp.com/biz/haymaker-charlotte-2
179,https://www.yelp.com/biz/the-garden-grille-and-bar-charlotte
180,https://www.yelp.com/biz/the-garden-grille-and-bar-charlotte
181,https://www.yelp.com/biz/flying-biscuit-caf%C3%A9-charlotte-charlotte-3
182,https://www.yelp.com/biz/dandelion-market-charlotte
183,https://www.yelp.com/biz/pio-pio-charlotte-2
184,https://www.yelp.com/biz/billy-jacks-shack-charlotte
185,https://www.yelp.com/biz/yakiko-hibachi-grill-charlotte
186,https://www.yelp.com/biz/the-cooking-pot-charlotte
187,https://www.yelp.com/biz/yafo-kitchen-charlotte
188,https://www.yelp.com/biz/adamarys-restaurante-y-pupuseria-charlotte
189,https://www.yelp.com/biz/stagioni-four-seasons-of-food-charlotte
190,https://www.yelp.com/biz/jackbeagles-charlotte
191,https://www.yelp.com/biz/cru-charlotte-charlotte
192,https://www.yelp.com/biz/laurel-market-charlotte
193,https://www.yelp.com/biz/pupusa-503-charlotte
194,https://www.yelp.com/biz/dilworth-tasting-room-charlotte
195,https://www.yelp.com/biz/oak-steakhouse-charlotte-charlotte
196,https://www.yelp.com/biz/blacow-charlotte
197,https://www.yelp.com/biz/midtown-tavern-charlotte
198,https://www.yelp.com/biz/saku-yakitori-and-sushi-bar-charlotte
199,https://www.yelp.com/biz/poboys-low-country-seafood-market-charlotte
200,https://www.yelp.com/biz/craft-city-charlotte-2
201,https://www.yelp.com/biz/halal-street-food-charlotte
202,https://www.yelp.com/biz/saku-yakitori-and-sushi-bar-charlotte
203,https://www.yelp.com/biz/poboys-low-country-seafood-market-charlotte
204,https://www.yelp.com/biz/flower-child-charlotte-charlotte-2
205,https://www.yelp.com/biz/lettys-charlotte
206,https://www.yelp.com/biz/snooze-an-a-m-eatery-charlotte-5
207,https://www.yelp.com/biz/foxcroft-wine-co-dilworth-charlotte
208,https://www.yelp.com/biz/beaudevin-charlotte
209,https://www.yelp.com/biz/mac-tabby-cat-cafe-charlotte-4
210,https://www.yelp.com/biz/summer-house-santa-monica-charlotte-2
211,https://www.yelp.com/biz/craft-city-charlotte-2
212,https://www.yelp.com/biz/volo-ristorante-charlotte
213,https://www.yelp.com/biz/bang-bang-burgers-south-end-charlotte
214,https://www.yelp.com/biz/pizzeria-omaggio-charlotte-4
215,https://www.yelp.com/biz/lawrence-caribbean-restaurant-charlotte
216,https://www.yelp.com/biz/cabo-fish-taco-charlotte
217,https://www.yelp.com/biz/condado-tacos-charlotte
218,https://www.yelp.com/biz/moo-and-brew-charlotte
219,https://www.yelp.com/biz/yafo-kitchen-charlotte-5
220,https://www.yelp.com/biz/moo-and-brew-charlotte
221,https://www.yelp.com/biz/yafo-kitchen-charlotte-5
222,https://www.yelp.com/biz/famous-toastery-uptown-charlotte
223,https://www.yelp.com/biz/xiao-bao-charlotte
224,https://www.yelp.com/biz/valhalla-pub-and-eatery-charlotte
225,https://www.yelp.com/biz/the-artisans-palate-charlotte
226,https://www.yelp.com/biz/dresslers-charlotte-charlotte-2
227,https://www.yelp.com/biz/roys-kitchen-and-patio-charlotte-2
228,https://www.yelp.com/biz/cloud-southend-charlotte
229,https://www.yelp.com/biz/sals-pizza-factory-charlotte-4
230,https://www.yelp.com/biz/valhalla-pub-and-eatery-charlotte
231,https://www.yelp.com/biz/wings-over-charlotte-charlotte-4
232,https://www.yelp.com/biz/littlespoon-charlotte-3
233,https://www.yelp.com/biz/velvet-taco-charlotte-3
234,https://www.yelp.com/biz/deans-italian-steakhouse-charlotte-2
235,https://www.yelp.com/biz/xiao-bao-charlotte
236,https://www.yelp.com/biz/old-pineville-premium-pub-charlotte
237,https://www.yelp.com/biz/estampa-gaucha-charlotte
238,https://www.yelp.com/biz/hubee-ds-charlotte
239,https://www.yelp.com/biz/204-north-kitchen-and-cocktails-charlotte
