,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,4 BEDS,Studio,2+ BEDS
28,Spring Garden Apartments,https://www.rentcafe.com/apartments/nc/winston-salem/spring-garden-apartments1/default.aspx,665 N Spring Street,Winston Salem,NC,3.50,27101,$895,"$1,495+","$1,700+","$1,999",$785+,"$1,095+"
29,Greenway Flats Apartments,https://www.rentcafe.com/apartments/nc/raleigh/greenway-flats-apartments/default.aspx,1107 Garner Road,Raleigh,NC,3.50,27601,$895,"$1,495+","$1,700+","$1,999",$785+,"$1,095+"
30,Whitehall Estates,https://www.rentcafe.com/apartments/nc/charlotte/whitehall-estates/default.aspx,2400 Whitehall Estates Drive,Charlotte,NC,3.50,28273,"$1,387+","$1,505+","$1,821","$1,999",$785+,"$1,095+"
31,Bexley At Carpenter Village,https://www.rentcafe.com/apartments/nc/cary/bexley-at-carpenter-village/default.aspx,2000 Geddy House Lane,Cary,NC,4.00,27519,"$1,350+","$1,555+",Ask for pricing,"$1,999",$785+,"$1,095+"
32,Fox Chase,https://www.rentcafe.com/apartments/nc/durham/fox-chase-1/default.aspx,3601 Highgate Drive,Durham,NC,4.00,27713,"$1,184+","$1,555+",Ask for pricing,"$1,999",$785+,"$1,095+"
33,Avalon East,https://www.rentcafe.com/apartments/nc/durham/avalon-east/default.aspx,325 Bridgefield Place,Durham,NC,4.50,27705,"$1,212+","$1,555+",Ask for pricing,"$1,999",$785+,"$1,095+"
34,The Davy,https://www.rentcafe.com/apartments/nc/charlotte/the-davy/default.aspx,514 E 35Th Street,Charlotte,NC,4.50,28205,"$1,275",Ask for pricing,Ask for pricing,"$1,999",$785+,"$1,095+"
35,Woodcreek Apartments,https://www.rentcafe.com/apartments/nc/cary/woodcreek-apartments/default.aspx,100 Stephanie Dr,Cary,NC,5.00,27511,"$1,199+","$1,311+",Ask for pricing,"$1,999",$785+,"$1,095+"
36,Waterlynn At Concord,https://www.rentcafe.com/apartments/nc/concord/waterlynn-at-concord/default.aspx,7850 Waterway Drive NW,Concord,NC,5.00,28027,"$1,495+","$1,653+","$1,999+","$1,999",$785+,"$1,095+"
37,Mosaic South End Apartments,https://www.rentcafe.com/apartments/nc/charlotte/mosaic-south-end/default.aspx,1312 S. College Street,Charlotte,NC,5.00,28203,"$1,629+","$1,653+","$1,999+","$1,999",Ask for pricing,"$2,601+"
