,restaurant_name,restaurant_url,restaurant_tag,restaurant_neighborhood,restaurant_address,ratings,review_number,price
156,Lincoln Street Kitchen & Cocktails,https://www.yelp.com/biz/lincoln-street-kitchen-and-cocktails-charlotte?sort_by=date_desc,"American (New),Cocktail Bars,Breakfast & Brunch,",,"1320 S Church St,Ste 400",4,171,$$ 
157,Caswell Station,https://www.yelp.com/biz/caswell-station-charlotte-2?sort_by=date_desc,"Bars,American (New),",,"366 N Caswell Rd,Charlotte, NC 28204",4,172,Unclaimed 
158,Meshugganah,https://www.yelp.com/biz/meshugganah-charlotte?sort_by=date_desc,"Sandwiches,Pop-Up Restaurants,",,"2320 N Davidson St,Charlotte, NC 28205",5,2,Unclaimed 
159,AC Lounge,https://www.yelp.com/biz/ac-lounge-charlotte?sort_by=date_desc,"Mediterranean,",,"220 E Trade St,Ste 500",4.5,3,
160,Camp North End,https://www.yelp.com/biz/camp-north-end-charlotte?sort_by=date_desc,"Venues & Event Spaces,Food Court,",,"300 Camp Rd,Charlotte, NC 28206",4.5,66,$$ 
161,Camp North End,https://www.yelp.com/biz/camp-north-end-charlotte?sort_by=date_desc,"Venues & Event Spaces,Food Court,",,"300 Camp Rd,Charlotte, NC 28206",4.5,66,$$ 
162,Caribbean Hut,https://www.yelp.com/biz/caribbean-hut-charlotte-2?sort_by=date_desc,"Caribbean,",,"200 W Woodlawn Rd,Ste D",4,134,Unclaimed 
163,La Shish Kabob,https://www.yelp.com/biz/la-shish-kabob-charlotte?sort_by=date_desc,"Middle Eastern,Halal,Mediterranean,",,"3117-A N Sharon Amity,Charlotte, NC 28205",4.5,433,$$ 
164,Redeye Diner,https://www.yelp.com/biz/redeye-diner-charlotte?sort_by=date_desc,"Diners,Breakfast & Brunch,American (Traditional),",,"210 E Trade St,Charlotte, NC 28202",3.5,510,$$ 
165,Leroy Fox - South End,https://www.yelp.com/biz/leroy-fox-south-end-charlotte?sort_by=date_desc,"Southern,Bars,",,"1616 Camden Rd,Ste 150",4,459,$$ 
166,RuRu's Tacos + Tequila,https://www.yelp.com/biz/rurus-tacos-tequila-charlotte-3?sort_by=date_desc,"Mexican,Tex-Mex,Cocktail Bars,",,"715 Providence Rd,Charlotte, NC 28207",3.5,573,$$ 
167,"Snooze, an A.M. Eatery",https://www.yelp.com/biz/snooze-eatery-charlotte-charlotte?sort_by=date_desc,"Breakfast & Brunch,American (Traditional),Cocktail Bars,",,"2041 South Blvd,Ste 106",4.5,305,$$ 
168,Blue Orchid,https://www.yelp.com/biz/blue-orchid-charlotte?sort_by=date_desc,"Sushi Bars,Asian Fusion,",,"8170 S Tryon St,Ste G",5,142,Unclaimed 
169,Omakase By Primefish,https://www.yelp.com/biz/omakase-by-primefish-charlotte?sort_by=date_desc,"Sushi Bars,",,"2907 Providence Rd,Ste 101",5,1,
170,Euro Grill & Cafe,https://www.yelp.com/biz/euro-grill-and-cafe-charlotte?sort_by=date_desc,"Modern European,",,"2719 Central Ave,Charlotte, NC 28205",4.5,102,$$ 
