,restaurant_name,restaurant_url,restaurant_tag,restaurant_neighborhood,restaurant_address,ratings,review_number,price
11,Flourshop,https://www.yelp.com/biz/flourshop-charlotte?sort_by=date_desc,"American (New),",,"530 Brandywine Rd,Ste A",4,157,$$$ 
12,RH Rooftop Restaurant Charlotte,https://www.yelp.com/biz/rh-rooftop-restaurant-charlotte-charlotte-3?sort_by=date_desc,"American (Traditional),",,"6903 Phillips Place Ct,Charlotte, NC 28210",4,238,
13,Link & Pin New Bern,https://www.yelp.com/biz/link-and-pin-new-bern-charlotte?sort_by=date_desc,"Gastropubs,American (New),Cocktail Bars,",,,4,478,$$ 
14,Kid Cashew,https://www.yelp.com/biz/kid-cashew-charlotte?sort_by=date_desc,"Mediterranean,Tapas/Small Plates,Bars,",,"1608 East Blvd,Charlotte, NC 28203",4,773,$$ 
15,Summerbird,https://www.yelp.com/biz/summerbird-charlotte-4?sort_by=date_desc,"Chicken Shop,Salad,",,"1422 S Tryon St,Ste 140",4,5,
16,North Italia - Charlotte,https://www.yelp.com/biz/north-italia-charlotte-charlotte-2?sort_by=date_desc,"Italian,Pizza,Cocktail Bars,",,"1414 S Tryon St,Ste 140",4.5,448,$$ 
17,The Crunkleton,https://www.yelp.com/biz/the-crunkleton-charlotte?sort_by=date_desc,"Cocktail Bars,American (New),",,"1957 E 7th St,Charlotte, NC 28204",4.5,259,$$$ 
18,bit,https://www.yelp.com/biz/bit-charlotte?sort_by=date_desc,"Asian Fusion,Korean,",,"721 Governor Morrison St,Ste 150",4.5,23,
19,Little Mama's,https://www.yelp.com/biz/little-mamas-charlotte-2?sort_by=date_desc,"Italian,Breakfast & Brunch,",,"4521 Sharon Rd,Charlotte, NC 28211",4.5,293,$$ 
20,LuLu's Maryland Style Chicken & Seafood,https://www.yelp.com/biz/lulus-maryland-style-chicken-and-seafood-charlotte?sort_by=date_desc,"Chicken Wings,Seafood,Fish & Chips,",,,4,453,$$ 
21,Supperland,https://www.yelp.com/biz/supperland-charlotte?sort_by=date_desc,"Southern,Steakhouses,",,,4.5,182,$$$ 
22,The Jimmy,https://www.yelp.com/biz/the-jimmy-charlotte?sort_by=date_desc,"Mediterranean,Italian,Pizza,",,"2839 Selwyn Ave,Charlotte, NC 28209",4,48,
23,Yunta Nikkei,https://www.yelp.com/biz/yunta-nikkei-charlotte-2?sort_by=date_desc,"Peruvian,Bars,Japanese,",,"2201 S Blvd,Ste 130",4.5,122,
24,El Puro Cuban Restaurant,https://www.yelp.com/biz/el-puro-cuban-restaurant-charlotte?sort_by=date_desc,"Cuban,Caribbean,",,,4,177,$$ 
25,Calle Sol Latin Café & Cevicheria,https://www.yelp.com/biz/calle-sol-latin-caf%C3%A9-and-cevicheria-charlotte?sort_by=date_desc,"Latin American,Peruvian,Bars,",,,4.5,180,$$ 
26,MOA Korean BBQ & Bar,https://www.yelp.com/biz/moa-korean-bbq-and-bar-charlotte?sort_by=date_desc,"Barbeque,Korean,",,"128 S Tryon St,Charlotte, NC 28202",4.5,196,
27,Seoul Food Meat Company,https://www.yelp.com/biz/seoul-food-meat-company-charlotte?sort_by=date_desc,"Korean,Barbeque,Beer Bar,",,"1400 S Church St,Ste A",4,1473,$$ 
28,Salted Melon,https://www.yelp.com/biz/salted-melon-charlotte?sort_by=date_desc,"Cocktail Bars,American (Traditional),",,"100 W Worthington Ave,Ste 107",3.5,21,
29,Leo's Italian Social,https://www.yelp.com/biz/leos-italian-social-charlotte-2?sort_by=date_desc,"Italian,Pasta Shops,Pizza,",,"4720 Piedmont Row,Charlotte, NC 28210",4,16,
30,The Market at 7th Street,https://www.yelp.com/biz/the-market-at-7th-street-charlotte?sort_by=date_desc,"Public Markets,Food Court,",,"224 E 7th St,Charlotte, NC 28202",4.5,277,$$ 
31,BrickTop's Restaurant,https://www.yelp.com/biz/bricktops-restaurant-charlotte-2?sort_by=date_desc,"Breakfast & Brunch,Desserts,Sushi Bars,",,"6401 Morrison Blvd,Ste 1B",4,454,$$ 
32,Midwood Smokehouse,https://www.yelp.com/biz/midwood-smokehouse-charlotte?sort_by=date_desc,"Barbeque,Smokehouse,American (Traditional),",,"1401 Central Ave,Charlotte, NC 28205",4.5,2273,$$ 
33,Rooster's at Southpark,https://www.yelp.com/biz/roosters-at-southpark-charlotte-4?sort_by=date_desc,"Southern,American (New),",,"6601 Morrison Blvd,Charlotte, NC 28211",4,442,Unclaimed 
34,Fine & Fettle,https://www.yelp.com/biz/fine-and-fettle-charlotte?sort_by=date_desc,"Tapas/Small Plates,Cocktail Bars,Breakfast & Brunch,",,"4905 Barclay Downs Dr,Charlotte, NC 28210",4,69,$$ 
35,Piada Italian Street Food,https://www.yelp.com/biz/piada-italian-street-food-charlotte?sort_by=date_desc,"Salad,Italian,Wraps,",,"282 S Sharon Amity Rd,Unit 337",3.5,24,Unclaimed 
36,Optimist Hall,https://www.yelp.com/biz/optimist-hall-charlotte-3?sort_by=date_desc,"Food Court,",,"1115 N Brevard St,Charlotte, NC 28206",4.5,430,$$ 
37,Jasmine Grill,https://www.yelp.com/biz/jasmine-grill-charlotte?sort_by=date_desc,"Mediterranean,Middle Eastern,Halal,",,"5033 South Blvd,Ste G",4.5,691,Unclaimed 
38,The Fig Tree Restaurant,https://www.yelp.com/biz/the-fig-tree-restaurant-charlotte?sort_by=date_desc,"American (New),French,Italian,",,"1601 E 7th St,Charlotte, NC 28204",4.5,547,$$$ 
39,Fenwick's,https://www.yelp.com/biz/fenwicks-charlotte-2?sort_by=date_desc,"American (Traditional),",,"511 Providence Rd,Charlotte, NC 28207",4,156,$$ 
40,Mimosa Grill,https://www.yelp.com/biz/mimosa-grill-charlotte?sort_by=date_desc,"Southern,American (New),",,"327 S Tryon St,Charlotte, NC 28202",4,646,$$ 
41,Bang Bang Burgers,https://www.yelp.com/biz/bang-bang-burgers-charlotte-2?sort_by=date_desc,"Burgers,",,"2001 E 7th St,Ste D",4.5,774,Unclaimed 
42,Optimist Hall,https://www.yelp.com/biz/optimist-hall-charlotte-3?sort_by=date_desc,"Food Court,",,"1115 N Brevard St,Charlotte, NC 28206",4.5,430,$$ 
43,Osteria LuCa,https://www.yelp.com/biz/osteria-luca-charlotte?sort_by=date_desc,"Pizza,Tuscan,",,,4.5,124,$$ 
44,800 Degrees Woodfired Kitchen,https://www.yelp.com/biz/800-degrees-woodfired-kitchen-charlotte-3?sort_by=date_desc,"Pizza,Salad,Burgers,",,"6815 Phillips Place Ct,Charlotte, NC 28210",4,88,$$ 
45,ACE No. 3 - Myers Park,https://www.yelp.com/biz/ace-no-3-myers-park-charlotte?sort_by=date_desc,"Burgers,",,"829 Providence Rd,Charlotte, NC 28207",4.5,71,$$ 
46,Ilios Crafted Greek,https://www.yelp.com/biz/ilios-crafted-greek-charlotte?sort_by=date_desc,"Mediterranean,Greek,",,"1514 S Church St,Charlotte, NC 28203",4.5,175,
47,Indaco,https://www.yelp.com/biz/indaco-charlotte?sort_by=date_desc,"Italian,Wine Bars,",,"2046 S Blvd,Charlotte, NC 28203",4.5,196,$$ 
48,Leah & Louise,https://www.yelp.com/biz/leah-and-louise-charlotte?sort_by=date_desc,"Bars,Southern,American (New),",,"301 Camp Rd,Ste 101",4,232,$$ 
49,Ruby Sunshine,https://www.yelp.com/biz/ruby-sunshine-charlotte-2?sort_by=date_desc,"Breakfast & Brunch,Cafes,American (New),",,"332 W Bland St,Ste D",4,552,$$ 
50,Velvet Taco,https://www.yelp.com/biz/velvet-taco-charlotte-4?sort_by=date_desc,"American (New),Tacos,",,,4,82,
51,Velvet Taco,https://www.yelp.com/biz/velvet-taco-charlotte-4?sort_by=date_desc,"American (New),Tacos,",,,4,82,
52,Sea Level NC,https://www.yelp.com/biz/sea-level-nc-charlotte-4?sort_by=date_desc,"Seafood,Cocktail Bars,",,"129 E 5th St,Charlotte, NC 28202",4.5,955,$$ 
53,STIR Charlotte,https://www.yelp.com/biz/stir-charlotte-charlotte-2?sort_by=date_desc,"American (New),Cocktail Bars,Seafood,",,"1422 S Tryon St,Ste 130",4,416,Unclaimed 
54,Osteria LuCa,https://www.yelp.com/biz/osteria-luca-charlotte?sort_by=date_desc,"Pizza,Tuscan,",,,4.5,124,$$ 
55,Let's Meat Kbbq,https://www.yelp.com/biz/lets-meat-kbbq-charlotte?sort_by=date_desc,"Korean,Barbeque,",,"1400 S Church St,Ste B",4.5,534,$$$ 
56,The Eagle Food & Beer Hall,https://www.yelp.com/biz/the-eagle-food-and-beer-hall-charlotte?sort_by=date_desc,"Southern,Soul Food,American (Traditional),",,"2120 S Blvd,Ste 1",4.5,186,$$ 
57,The Good Wurst Company,https://www.yelp.com/biz/the-good-wurst-company-charlotte?sort_by=date_desc,"Hot Dogs,German,Sandwiches,",,"3001 Central Ave,Charlotte, NC 28205",4.5,145,Unclaimed 
58,Bulgogi Box,https://www.yelp.com/biz/bulgogi-box-charlotte?sort_by=date_desc,"Korean,Barbeque,",,"1750 Camden Rd,Ste 104",4,219,$$ 
59,Midnight Diner,https://www.yelp.com/biz/midnight-diner-charlotte?sort_by=date_desc,"Diners,Breakfast & Brunch,American (Traditional),",,"115 E Carson Blvd,Charlotte, NC 28203",4,1145,$$ 
60,Noble Smoke,https://www.yelp.com/biz/noble-smoke-charlotte?sort_by=date_desc,"Barbeque,",,,4,493,Unclaimed 
61,Pasta & Provisions,https://www.yelp.com/biz/pasta-and-provisions-charlotte-3?sort_by=date_desc,"Delis,Pasta Shops,Desserts,",,,4.5,129,$ 
62,Caroline's Oyster Bar,https://www.yelp.com/biz/carolines-oyster-bar-charlotte-2?sort_by=date_desc,"Seafood,Wine Bars,Cocktail Bars,",,"120 E Brooklyn Vlg Ave,Charlotte, NC 28202",4.5,86,$$ 
63,The Good Wurst Company,https://www.yelp.com/biz/the-good-wurst-company-charlotte?sort_by=date_desc,"Hot Dogs,German,Sandwiches,",,"3001 Central Ave,Charlotte, NC 28205",4.5,145,Unclaimed 
64,The Cowfish Sushi Burger Bar,https://www.yelp.com/biz/the-cowfish-sushi-burger-bar-charlotte?sort_by=date_desc,"Sushi Bars,Burgers,Asian Fusion,",,"4310 Sharon Rd,Ste X05",4.5,2080,$$ 
65,IndiGrille,https://www.yelp.com/biz/indigrille-charlotte?sort_by=date_desc,"Indian,",,"1600 E Woodlawn Rd,Ste 150",4.5,29,
66,Cilantro Noodle,https://www.yelp.com/biz/cilantro-noodle-charlotte?sort_by=date_desc,"Vietnamese,",,,4.5,250,$$ 
67,Taco Mama - Dilworth,https://www.yelp.com/biz/taco-mama-dilworth-charlotte?sort_by=date_desc,"Mexican,",,"2452 Park Rd,Ste C",4,167,$$ 
68,Vana,https://www.yelp.com/biz/vana-charlotte?sort_by=date_desc,"American (New),Bars,",,"1440 S Tryon St,Ste 100",4.5,113,$$ 
69,Alexander Michael's,https://www.yelp.com/biz/alexander-michaels-charlotte?sort_by=date_desc,"American (Traditional),Pubs,Salad,",,"401 W 9th St,Charlotte, NC 28202",4.5,476,$$ 
70,YaMe Asian Noodles,https://www.yelp.com/biz/yame-asian-noodles-charlotte?sort_by=date_desc,"Bubble Tea,Noodles,Asian Fusion,",,"4435 Park Rd,Ste 300",4.5,137,$$ 
71,YaMe Asian Noodles,https://www.yelp.com/biz/yame-asian-noodles-charlotte?sort_by=date_desc,"Bubble Tea,Noodles,Asian Fusion,",,"4435 Park Rd,Ste 300",4.5,137,$$ 
72,Suffolk Punch Brewing,https://www.yelp.com/biz/suffolk-punch-brewing-charlotte-2?sort_by=date_desc,"Breweries,American (New),Breakfast & Brunch,",,,4,627,$$ 
73,Bardo,https://www.yelp.com/biz/bardo-charlotte?sort_by=date_desc,"American (New),",,"1508 S Mint St,Unit B",4,159,$$$$ 
74,The Dumpling Lady,https://www.yelp.com/biz/the-dumpling-lady-charlotte?sort_by=date_desc,"Szechuan,Noodles,Dim Sum,",,"1115 N Brevard St,Charlotte, NC 28206",4,417,$$ 
75,Bar Marcel,https://www.yelp.com/biz/bar-marcel-charlotte?sort_by=date_desc,"Italian,French,Spanish,",,"3920 Sharon Rd,Ste 160",4.5,85,$$$ 
76,The King's Kitchen,https://www.yelp.com/biz/the-kings-kitchen-charlotte?sort_by=date_desc,"American (Traditional),Southern,Salad,",,"129 W Trade St,Charlotte, NC 28202",4,670,$$ 
77,Vicious Biscuit,https://www.yelp.com/biz/vicious-biscuit-charlotte?sort_by=date_desc,"Breakfast & Brunch,",,"8200 Providence Rd,Ste 100",4.5,47,
78,Chez Marie Pâtisserie,https://www.yelp.com/biz/chez-marie-p%C3%A2tisserie-charlotte?sort_by=date_desc,"Patisserie/Cake Shop,Bakeries,Cafes,",,"4732 Sharon Rd,Ste M",4.5,14,
79,Superica,https://www.yelp.com/biz/superica-charlotte-5?sort_by=date_desc,"Tex-Mex,Mexican,",,"101 W Worthington Ave,Charlotte, NC 28203",4,678,$$ 
80,Sosu,https://www.yelp.com/biz/sosu-charlotte?sort_by=date_desc,"Japanese,",,"3718 Central Ave,Charlotte, NC 28205",4.5,49,Unclaimed 
81,Harry’s Grille & Tavern,https://www.yelp.com/biz/harry-s-grille-and-tavern-charlotte?sort_by=date_desc,"Bars,Steakhouses,American (Traditional),",,,4.5,27,
82,Cicchetti,https://www.yelp.com/biz/cicchetti-charlotte?sort_by=date_desc,"Wine Bars,Italian,Tapas/Small Plates,",,"100 N Tryon St,Charlotte, NC 28202",4.5,48,Unclaimed 
83,Futo Buta,https://www.yelp.com/biz/futo-buta-charlotte-3?sort_by=date_desc,"Ramen,",,"222 Bland St,Bland Street Light Rail Station",4,1500,Unclaimed 
84,Stoke Charlotte,https://www.yelp.com/biz/stoke-charlotte-charlotte-2?sort_by=date_desc,"American (New),Cocktail Bars,",,"100 West Trade St,Charlotte, NC 28202",4,262,$$ 
85,La Belle Helene,https://www.yelp.com/biz/la-belle-helene-charlotte-2?sort_by=date_desc,"French,Desserts,Brasseries,",,"300 S Tryon St,Ste 100",4,353,$$$ 
86,The Public House,https://www.yelp.com/biz/the-public-house-charlotte?sort_by=date_desc,"Bars,American (New),Burgers,",,"300 S Brevard St,Charlotte, NC 28202",4.5,24,$$ 
87,Cowbell Burger & Whiskey Bar,https://www.yelp.com/biz/cowbell-burger-and-whiskey-bar-charlotte?sort_by=date_desc,"Burgers,Whiskey Bars,",,"201 N Tryon St,Ste 1010",4,737,$$ 
88,Gyu-Kaku Japanese BBQ,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-charlotte?sort_by=date_desc,"Japanese,Barbeque,Asian Fusion,",,"650 E Brooklyn Village Ave,Unit A",4,182,
89,Mariposa,https://www.yelp.com/biz/mariposa-charlotte?sort_by=date_desc,"Tapas/Small Plates,",,"500 S Tryon St,Charlotte, NC 28202",4.5,58,Unclaimed 
90,The Waterman Fish Bar,https://www.yelp.com/biz/the-waterman-fish-bar-charlotte?sort_by=date_desc,"Seafood,",,"2729 South Blvd,Ste D",4,640,$$ 
91,Moon Thai And Japanese Restaurant,https://www.yelp.com/biz/moon-thai-and-japanese-restaurant-charlotte?sort_by=date_desc,"Thai,Sushi Bars,Cocktail Bars,",,"4425 Sharon Rd,Charlotte, NC 28211",4.5,73,
92,Napa on Providence,https://www.yelp.com/biz/napa-on-providence-charlotte?sort_by=date_desc,"American (New),Bars,Breakfast & Brunch,",,"110 Perrin Pl,Charlotte, NC 28207",4,365,$$$ 
93,Pinky's Westside Grill,https://www.yelp.com/biz/pinkys-westside-grill-charlotte?sort_by=date_desc,"Burgers,American (Traditional),Bars,",,,4,1575,$$ 
94,Grinning Mule,https://www.yelp.com/biz/grinning-mule-charlotte-2?sort_by=date_desc,"Tapas Bars,",,,4.5,66,$$ 
95,Eight And Sand Kitchen,https://www.yelp.com/biz/eight-and-sand-kitchen-charlotte?sort_by=date_desc,"Sandwiches,Bakeries,Breakfast & Brunch,",,,4,241,$$ 
96,Tupelo Honey,https://www.yelp.com/biz/tupelo-honey-charlotte-8?sort_by=date_desc,"Southern,American (New),Breakfast & Brunch,",,"101 S Tryon St,Ste 130",4,446,$$ 
97,Day & Night Exotic Cereal Bar,https://www.yelp.com/biz/day-and-night-exotic-cereal-bar-charlotte?sort_by=date_desc,"Desserts,Ice Cream & Frozen Yogurt,Breakfast & Brunch,",,"127 Brevard Court,Charlotte, NC 28202",4.5,71,$ 
98,The Goodyear House,https://www.yelp.com/biz/the-goodyear-house-charlotte?sort_by=date_desc,"Tapas Bars,",,"3032 N Davidson St,Charlotte, NC 28205",4,280,$$ 
99,Burtons Grill & Bar Park Road,https://www.yelp.com/biz/burtons-grill-and-bar-park-road-charlotte?sort_by=date_desc,"American (New),Seafood,Gluten-Free,",,"1601 East Woodlawn Rd,Ste A",4.5,531,$$ 
100,Chicken Go-Go,https://www.yelp.com/biz/chicken-go-go-charlotte-2?sort_by=date_desc,"Chicken Shop,Food Trucks,",,"4856 Albemarle Rd,Charlotte, NC 28203",5,1,
101,,https://www.yelp.com/biz/moosehead-grill-charlotte?sort_by=date_desc,,,,4,,
102,Fairweather,https://www.yelp.com/biz/fairweather-charlotte?sort_by=date_desc,"Cocktail Bars,Beer, Wine & Spirits,Seafood,",,"424 E 36th St,Unit 2",5,7,
103,Penguin Drive In,https://www.yelp.com/biz/penguin-drive-in-charlotte-2?sort_by=date_desc,"Burgers,Ramen,Salad,",,"1531 East Blvd,Charlotte, NC 28203",3,5,
104,Joa Korean Food,https://www.yelp.com/biz/joa-korean-food-charlotte?sort_by=date_desc,"Korean,",,"8016 Providence Road,Ste 100",4.5,21,
105,Bossy Beulah's,https://www.yelp.com/biz/bossy-beulahs-charlotte?sort_by=date_desc,"Chicken Shop,",,,4.5,210,$$ 
106,The Capital Grille,https://www.yelp.com/biz/the-capital-grille-charlotte-2?sort_by=date_desc,"Steakhouses,Seafood,Wine Bars,",,"201 N Tryon St,Charlotte, NC 28202",4.5,563,$$$ 
107,Capishe Real Italian Kitchen,https://www.yelp.com/biz/capishe-real-italian-kitchen-charlotte?sort_by=date_desc,"Pizza,Italian,Wine Bars,",,"500 E Morehead St,Ste 100",4.5,519,$$ 
108,Brasas Arepas & Grill,https://www.yelp.com/biz/brasas-arepas-and-grill-charlotte-2?sort_by=date_desc,"Bakeries,Venezuelan,",,"4740 Old Pineville Rd,Charlotte, NC 28217",4.5,4,
109,JINYA Ramen Bar - Ally Charlotte Center,https://www.yelp.com/biz/jinya-ramen-bar-ally-charlotte-center-charlotte-2?sort_by=date_desc,"Ramen,Tacos,Tapas/Small Plates,",,"601 S Tryon St,Unit 132",4,296,$$ 
110,Cheat’s Cheesesteak Parlor,https://www.yelp.com/biz/cheat-s-cheesesteak-parlor-charlotte?sort_by=date_desc,"Cheesesteaks,Food Stands,",,"913 Pecan Ave,Charlotte, NC 28205",3.5,31,$$ 
111,Mama Ricotta's,https://www.yelp.com/biz/mama-ricottas-charlotte-16?sort_by=date_desc,"Italian,Venues & Event Spaces,",,"601 S Kings Dr Aa,Ste AA",4,886,$$ 
112,Eddie V's Prime Seafood,https://www.yelp.com/biz/eddie-vs-prime-seafood-charlotte-4?sort_by=date_desc,"Seafood,Lounges,Steakhouses,",,"101 S Tryon St,Ste 100",4,354,$$$$ 
113,Ever Andalo,https://www.yelp.com/biz/ever-andalo-charlotte?sort_by=date_desc,"Italian,",,"3116 N Davidson St,Charlotte, NC 28205",4.5,52,
114,Steak 48,https://www.yelp.com/biz/steak-48-charlotte?sort_by=date_desc,"Steakhouses,American (New),Seafood,",,"4425 Sharon Rd,Charlotte, NC 28211",4.5,246,$$$$ 
115,Early Girl Eatery,https://www.yelp.com/biz/early-girl-eatery-charlotte?sort_by=date_desc,"American (Traditional),Southern,Breakfast & Brunch,",,"1515 S Tryon St,Ste  104",3.5,66,$$ 
116,Soul Gastrolounge,https://www.yelp.com/biz/soul-gastrolounge-charlotte?sort_by=date_desc,"Tapas Bars,Cocktail Bars,Gastropubs,",,"1500-B Central Ave,Charlotte, NC 28205",4,1261,$$ 
117,Little Village Grill,https://www.yelp.com/biz/little-village-grill-charlotte-2?sort_by=date_desc,"Greek,Mediterranean,",,"901 East 4th St,Charlotte, NC 28204",5,18,$ 
118,Village Tavern,https://www.yelp.com/biz/village-tavern-charlotte?sort_by=date_desc,"American (New),Bars,Steakhouses,",,"4201 Congress St,Charlotte, NC 28209",4,345,$$ 
119,White Duck Taco Shop,https://www.yelp.com/biz/white-duck-taco-shop-charlotte?sort_by=date_desc,"Tacos,",,"1020 E 10th St,Ste 3",4.5,125,$ 
120,Viva Chicken,https://www.yelp.com/biz/viva-chicken-charlotte?sort_by=date_desc,"Peruvian,",,"1617 Elizabeth Ave,Charlotte, NC 28204",4.5,1076,$$ 
121,Nana Morrison's Soul Food,https://www.yelp.com/biz/nana-morrisons-soul-food-charlotte?sort_by=date_desc,"Soul Food,",,"2908 Oak Lake Blvd,Ste 106",4,627,Unclaimed 
122,131 MAIN Restaurant,https://www.yelp.com/biz/131-main-restaurant-charlotte-2?sort_by=date_desc,"American (New),Seafood,Steakhouses,",,"5970 Fairview Rd,Ste 100",4,181,$$$ 
