,Unnamed: 0,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS,3+ BEDS,5 BEDS
14,14,The Villagio Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/the-villagio-apartments-phase-i/default.aspx,710 Villagio Place,Fayetteville,NC,4.0,28303,"$1,330+","$1,829+","$1,966+",Ask for pricing,"$1,479+",,,
15,15,Hunter's  Ridge Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/hunter-s-ridge-apartments2/default.aspx,522-584 Lambert St,Fayetteville,NC,4.5,28305,"$1,330+",$995+,"$1,966+",Ask for pricing,"$1,479+",,,
16,16,Glen Lennox Apartments,https://www.rentcafe.com/apartments/nc/chapel-hill/glen-lennox-apartments0/default.aspx,140 Hamilton Rd,Chapel Hill,NC,4.5,27514,"$1,067+",$998+,"$1,440+",Ask for pricing,"$1,479+",,,
17,17,Huntington Apartments,https://www.rentcafe.com/apartments/nc/morrisville/huntington-apartments-2/default.aspx,2408 Duck Pond Circle,Morrisville,NC,4.0,27560,"$1,410","$1,530","$1,930",Ask for pricing,"$1,479+",,,
18,18,Heritage At The Peak,https://www.rentcafe.com/apartments/nc/asheville/hawthorne-at-the-park-1/default.aspx,50 Barnwood Dr.,Asheville,NC,4.0,28804,"$1,480+","$1,490+","$1,895",Ask for pricing,"$1,479+",,,
19,19,The Dartmouth North Hills Apartments,https://www.rentcafe.com/apartments/nc/raleigh/the-dartmouth-north-hills-apartments/default.aspx,104 Dartmouth Rd.,Raleigh,NC,5.0,27609,"$1,968+","$1,490+","$1,895","$1,825+","$2,187+",,,
20,20,Alta Croft,https://www.rentcafe.com/apartments/nc/charlotte/4414-johnston-oehler-road-charlotte-nc-282690/default.aspx,3030 Barrow Road,Charlotte,NC,4.0,28269,"$1,381+","$2,168+","$2,117+","$1,825+","$2,187+",,,
21,21,The Pointe At Irving Park,https://www.rentcafe.com/apartments/nc/greensboro/the-point-at-irving-park/default.aspx,3100 N. Elm Street,Greensboro,NC,4.0,27408,Ask for pricing,"$1,200","$2,117+","$1,825+","$2,187+",,,
22,22,University Ridge Apartments,https://www.rentcafe.com/apartments/nc/durham/university-ridge-apartments/default.aspx,3611 University Dr,Durham,NC,4.0,27707,"$1,048+","$1,399+","$2,117+","$1,825+","$2,187+",,,
23,23,Ardmore At The Trail,https://www.rentcafe.com/apartments/nc/indian-trail/ardmore-at-the-trail/default.aspx,321 E. Park Road,Indian Trail,NC,5.0,28079,"$1,475+","$1,675+","$2,245+","$1,825+","$2,187+",,,
24,24,Greenway At Fisher Park,https://www.rentcafe.com/apartments/nc/greensboro/greenway-at-fisher-park/default.aspx,404 West Smith Street,Greensboro,NC,4.5,27401,"$1,455","$1,719","$2,245+","$1,825+","$2,187+",,,
25,25,Greenway At Stadium Park,https://www.rentcafe.com/apartments/nc/greensboro/greenway-at-stadium-park/default.aspx,451 North Eugene Street,Greensboro,NC,5.0,27401,"$1,609+","$1,909+","$2,245+","$1,825+","$2,187+",,,
26,26,Residence At Tailrace Marina,https://www.rentcafe.com/apartments/nc/mount-holly/residence-at-tailrace-marina/default.aspx,1001 Marina Village Drive,Mount Holly,NC,5.0,28120,"$1,251+","$1,789+","$2,245+","$1,825+","$2,187+",,,
27,27,Village On The Lake Apartments,https://www.rentcafe.com/apartments/nc/spring-lake/village-on-the-lake-apartments-l-l-c/default.aspx,605 Village Lake Court,Spring Lake,NC,5.0,28390,"$1,092+","$1,309+","$1,366+","$1,825+","$2,187+",,,
28,28,Ardmore At Bryton,https://www.rentcafe.com/apartments/nc/huntersville/ardmore-at-bryton/default.aspx,13035 Ardmore Forest Rd,Huntersville,NC,5.0,28078,"$1,363+","$1,733+","$2,200+","$1,825+","$2,187+",,,
29,29,Cedar Springs Apartments,https://www.rentcafe.com/apartments/nc/raleigh/cedar-springs-2/default.aspx,5500 Reunion Point,Raleigh,NC,5.0,27609,Ask for pricing,"$1,410+","$2,200+","$1,825+","$2,187+",,,
30,30,Stone Gate Apartments,https://www.rentcafe.com/apartments/nc/spring-lake/stone-gate-nc-apartments-l-l-c/default.aspx,201 Stonebriar Circle,Spring Lake,NC,3.5,28390,"$1,374+","$1,463+","$1,725+","$1,825+","$2,187+",,,
31,31,Abberly Grove Apartment Homes,https://www.rentcafe.com/apartments/nc/raleigh/abberly-grove-apartment-homes/default.aspx,1160 Auston Grove Dr.,Raleigh,NC,4.5,27610,"$1,381+","$1,790+","$2,316+","$1,825+","$2,187+",,,
32,32,Abberly Woods Apartment Homes,https://www.rentcafe.com/apartments/nc/charlotte/abberly-woods-apartment-homes/default.aspx,5301 Roundstone Way,Charlotte,NC,4.5,28216,"$1,272+","$1,463+","$1,796+","$1,825+","$2,187+",,,
33,33,Pine Village,https://www.rentcafe.com/apartments/nc/sanford/pine-village/default.aspx,165 Firethorn Ln,Sanford,NC,4.5,27332,"$1,272+","$1,463+","$1,150+","$1,825+","$2,187+",,,
34,34,Abberly Green Apartment Homes,https://www.rentcafe.com/apartments/nc/mooresville/abberly-green-apartment-homes/default.aspx,117 Abberly Green Blvd.,Mooresville,NC,4.5,28117,"$1,332+","$1,533+","$2,013+","$1,825+","$2,187+",,,
35,35,Berrington Village Apartments,https://www.rentcafe.com/apartments/nc/asheville/berrington-village-apartments/default.aspx,1 Overton Way,Asheville,NC,4.5,28803,"$1,332+","$1,533+","$2,013+","$1,825+","$2,187+",,,
36,36,Abberly Place At White Oak Crossing,https://www.rentcafe.com/apartments/nc/garner/abberly-place-at-white-oak-crossing/default.aspx,500 Abberly Crest Blvd.,Garner,NC,4.5,27529,"$1,291+","$1,622+","$1,990+","$1,825+","$2,187+",,,
37,37,Brookside Apartments,https://www.rentcafe.com/apartments/nc/raleigh/brookside-apartments0/default.aspx,1406 Brookside Dr,Raleigh,NC,3.5,27604,"$1,050","$1,622+","$1,990+","$1,825+","$2,187+",,,
