,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS
0,Park Ridge Estates,https://www.rentcafe.com/apartments/nc/durham/park-ridge-estates/default.aspx,810 Park Ridge Rd,Durham,NC,4.00,27713,"$1,372+","$1,622+",,,
1,Coddle Creek,https://www.rentcafe.com/apartments/nc/concord/coddle-creek/default.aspx,2500 Ivy Hollow Place,Concord,NC,5.00,28027,"$1,370+","$1,598+","$2,070+",,
2,Magnolia Terrace,https://www.rentcafe.com/apartments/nc/charlotte/test-magnolia-clt/default.aspx,8301 Paces Oaks Boulevard,Charlotte,NC,4.00,28213,"$1,125+","$1,450+","$1,545+",,
3,Woodsmill Apartments,https://www.rentcafe.com/apartments/nc/winston-salem/woodsmill-apartments0/default.aspx,748 Jonestown Rd.,Winston-Salem,NC,4.00,27103,"$1,025","$1,135","$1,545+",,
4,Countryside Villa Apartments,https://www.rentcafe.com/apartments/nc/winston-salem/countryside-villa-apartments/default.aspx,5460 Countryside Drive,Winston-Salem,NC,3.50,27105,Ask for pricing,"$1,129",Ask for pricing,,
5,Longview Meadow,https://www.rentcafe.com/apartments/nc/concord/longview-meadow/default.aspx,1100 Ray Suggs Place,Concord,NC,3.50,28027,Ask for pricing,"$1,220+",Ask for pricing,,
6,Marquis At Carmel Commons,https://www.rentcafe.com/apartments/nc/charlotte/marquis-at-carmel-commons/default.aspx,6818 Northbury Lane,Charlotte,NC,3.50,28226,"$1,393+","$1,747+","$2,035",,
7,Nova Ridge,https://www.rentcafe.com/apartments/nc/charlotte/nova-ridge/default.aspx,4929 Arborwood Drive,Charlotte,NC,4.00,28208,"$1,035+","$1,747+","$2,035",Ask for pricing,"$1,200+"
8,Cedar Flats,https://www.rentcafe.com/apartments/nc/charlotte/cedar-flats0/default.aspx,225 N Cedar Street,Charlotte,NC,3.00,28202,"$1,365+","$1,932+","$2,035",Ask for pricing,"$1,200+"
9,Venable Durham Apartments,https://www.rentcafe.com/apartments/nc/durham/venable-residential-llc/default.aspx,464 E. Pettigrew Street,Durham,NC,3.00,27701,"$1,540+","$2,205+","$2,035","$1,305+","$1,200+"
10,Vida Kannapolis,https://www.rentcafe.com/apartments/nc/kannapolis/vida-kannapolis/default.aspx,210 South Main Street,Kannapolis,NC,4.50,28081,"$1,108+","$2,205+","$2,035","$1,237+","$1,813+"
11,West End At Fayetteville,https://www.rentcafe.com/apartments/nc/fayetteville/plantation-at-fayetteville/default.aspx,3050 Plantation Garden Way,Fayetteville,NC,4.00,28303,"$1,370+","$1,500+","$1,685+","$1,237+","$1,813+"
12,ARIUM Cary Park,https://www.rentcafe.com/apartments/nc/cary/braxton-cary-weston/default.aspx,1000 Heathmoor Ln,Cary,NC,4.00,27513,"$1,100+","$1,375+","$1,875+","$1,237+","$1,813+"
13,Avalon West,https://www.rentcafe.com/apartments/nc/durham/avalon-west/default.aspx,201 Bridgefield Place,Durham,NC,4.00,27705,"$1,479+","$1,375+","$1,875+","$1,237+","$1,813+"
14,Brentwood Apartments,https://www.rentcafe.com/apartments/nc/winston-salem/brentwood-apartments2/default.aspx,149 Weatherwood Court,Winston-Salem,NC,3.50,27103,"$1,479+",$799,"$1,875+","$1,237+","$1,813+"
15,The Summit At Avent Ferry,https://www.rentcafe.com/apartments/nc/raleigh/summit-at-avent-ferry/default.aspx,1025 Avent Hill,Raleigh,NC,3.50,27606,"$1,190+","$1,480+","$1,875+","$1,237+","$1,813+"
16,Summerlyn Cottages,https://www.rentcafe.com/apartments/nc/fayetteville/540-birdsong-ln/default.aspx,540 Birdsong Ln,Fayetteville,NC,4.50,28303,"$1,190+","$1,250","$1,875+","$1,237+","$1,813+"
17,Riley Grace Senior Apartments,https://www.rentcafe.com/apartments/nc/huntersville/riley-grace-senior-apartments/default.aspx,14801 Stumptown Rd,Huntersville,NC,4.50,28078,"$1,450+","$1,890","$1,875+","$1,237+","$1,813+"
18,Colony Village,https://www.rentcafe.com/apartments/nc/new-bern/colony-village/default.aspx,3301 Brunswick Avenue,New Bern,NC,5.00,28562,$970,"$1,070+","$1,430","$1,237+","$1,813+"
19,Elevate 54,https://www.rentcafe.com/apartments/nc/graham/elevate-54/default.aspx,230 Pine Knot Lane,Graham,NC,4.50,27253,"$1,205+","$1,385+","$1,430","$1,237+","$1,813+"
20,Tate Commons,https://www.rentcafe.com/apartments/nc/new-bern/tate-commons/default.aspx,1025 Karen Drive,New Bern,NC,4.50,28562,"$1,205+","$1,385+","$1,430","$1,237+","$1,813+"
21,Patriot Park,https://www.rentcafe.com/apartments/nc/fayetteville/ultris-patriot-park-0/default.aspx,3405 Revolution Rd,Fayetteville,NC,4.50,28311,"$1,290+","$1,349+",Ask for pricing,"$1,237+","$1,813+"
