,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS
0,Metro University City,https://www.rentcafe.com/apartments/nc/charlotte/metro-university-city/default.aspx,404 Gallop Lane,Charlotte,NC,3.50,28213,"$1,365+","$1,705+","$1,920+",,
1,Keltonwood At Berewick,https://www.rentcafe.com/apartments/nc/charlotte/solia-keltonwood-at-berewick/default.aspx,5620 Keltonwood Road,Charlotte,NC,4.50,28278,"$1,556+","$1,795+","$2,120+",,
2,The Preserve At Pine Valley,https://www.rentcafe.com/apartments/nc/wilmington/the-preserve-at-pine-valley0/default.aspx,3314 Wickslow Road,Wilmington,NC,4.50,28412,"$1,445","$1,495+","$1,895+",,
3,Legacy At Fire Tower,https://www.rentcafe.com/apartments/nc/winterville/legacy-at-fire-tower/default.aspx,611 Legacy Ct.,Winterville,NC,4.50,28590,"$1,370+","$1,750+","$1,970+",,
4,Carlson Bay Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/carlson-bay-apartments0/default.aspx,3500 Carlson Bay Circle,Fayetteville,NC,3.50,28314,$800,$925,Ask for pricing,,
5,The Residences At Diamond Ridge,https://www.rentcafe.com/apartments/nc/winston-salem/the-residences-at-diamond-ridge1/default.aspx,730 Anson St,Winston-Salem,NC,3.50,27103,Ask for pricing,$810,"$1,050",,
6,Revolution Mill Apartments,https://www.rentcafe.com/apartments/nc/greensboro/revolution-mill-apartments/default.aspx,850 Revolution Mill Drive,Greensboro,NC,3.50,27405,"$1,465","$1,600","$3,300",,
7,Elevate Brier Creek,https://www.rentcafe.com/apartments/nc/raleigh/elevate-at-brier-creek/default.aspx,9921 Horizon Overlook Drive,Raleigh,NC,4.00,27617,"$1,495+","$1,685+","$3,300",,
8,Madison Hunters Glen,https://www.rentcafe.com/apartments/nc/raleigh/madison-hunters-glen/default.aspx,100 Hunt Club Lane,Raleigh,NC,4.00,27606,"$1,215+","$1,590+","$3,300",,
9,Casa De Luna,https://www.rentcafe.com/apartments/nc/raleigh/casa-de-luna-1/default.aspx,3819-D Bonneville Ct.,Raleigh,NC,4.00,27604,"$1,215+","$1,590+","$3,300",,
10,Meridian At Ten Ten,https://www.rentcafe.com/apartments/nc/apex/meridian-at-ten-ten/default.aspx,1000 Brynmar Oaks Circle,Apex,NC,4.50,27539,"$1,650+","$2,005+","$2,115+",,
11,The Madison,https://www.rentcafe.com/apartments/nc/greenville/madison-place-1/default.aspx,2221 Hyde Dr.,Greenville,NC,5.00,27858,"$1,145+",Ask for pricing,"$2,115+",,
12,Beaver Creek Apartments And Townhomes,https://www.rentcafe.com/apartments/nc/apex/beaver-creek-townhomes/default.aspx,201 Fantail Ln,Apex,NC,5.00,27523,Ask for pricing,"$1,495+",Ask for pricing,,
13,Hawthorne At The Parkway,https://www.rentcafe.com/apartments/nc/cary/hawthorne-at-the-parkway/default.aspx,10300 Kingsclere Drive,Cary,NC,5.00,27511,"$1,342+","$1,884+","$1,899+",,
14,The Gardens At Anthony House,https://www.rentcafe.com/apartments/nc/greensboro/the-gardens-at-anthony-house/default.aspx,3223 Pleasant Garden Road,Greensboro,NC,4.50,27406,"$1,160+","$1,275+","$1,899+",,
15,Park 2300,https://www.rentcafe.com/apartments/nc/charlotte/park-2300-apartments/default.aspx,2300 Village Lake Drive,Charlotte,NC,4.50,28212,"$1,074+","$1,451+",Ask for pricing,,
16,Alta Grove,https://www.rentcafe.com/apartments/nc/charlotte/alta-grove/default.aspx,10017 Season Grove Lane,Charlotte,NC,4.00,28216,"$1,269+","$1,405+","$1,560+",,
17,Nu Salisbury Apartments,https://www.rentcafe.com/apartments/nc/salisbury/nu-salisbury/default.aspx,315 Ashbrook Road,Salisbury,NC,4.00,28147,Ask for pricing,"$1,175",Ask for pricing,,
18,Colony Townhomes,https://www.rentcafe.com/apartments/nc/raleigh/colony-townhomes2/default.aspx,5581 Burnlee Place,Raleigh,NC,4.00,27609,Ask for pricing,"$1,550",Ask for pricing,,
19,Greenbryre,https://www.rentcafe.com/apartments/nc/charlotte/greenbryre-0/default.aspx,3541 Spanish Quarter Cir,Charlotte,NC,4.00,28205,"$1,050","$1,205",Ask for pricing,,
20,Hawthorne Waterside,https://www.rentcafe.com/apartments/nc/leland/hawthorne-at-waterside/default.aspx,7111 Rock Fish Lane,Leland,NC,3.50,28451,"$1,415","$1,541+","$1,926",,
