,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS
28,The Mews Apartments And Townhomes,https://www.rentcafe.com/apartments/nc/durham/the-mews-apartments-and-townhomes/default.aspx,1801 Williamsburg Rd,Durham,NC,4.00,27707,"$1,295+","$1,415+","$2,550","$1,328+","$1,916+","$2,485"
29,401 Oberlin,https://www.rentcafe.com/apartments/nc/raleigh/401-oberlin-rd-raleigh-nc-27605/default.aspx,401 Oberlin Rd,Raleigh,NC,5.00,27605,"$1,507+","$1,415+","$2,550","$1,569+","$2,106+","$2,485"
30,Highland Ridge Apartment Homes,https://www.rentcafe.com/apartments/nc/high-point/highland-ridge-apartment-homes/default.aspx,2452 Bellemeade St,High Point,NC,3.00,27263,"$1,070+","$1,280+",Ask for pricing,"$1,569+","$2,106+","$2,485"
31,Raleigh Rentals,https://www.rentcafe.com/apartments/nc/raleigh/raleigh-rentals/default.aspx,900 Moses Court,Raleigh,NC,3.00,27604,"$1,070+","$1,280+",Ask for pricing,"$1,569+","$2,106+","$2,485"
32,Plaza West,https://www.rentcafe.com/apartments/nc/winston-salem/plaza-west0/default.aspx,4825 Commercial Plaza St.,Winston Salem,NC,3.00,27104,$800+,$950+,Ask for pricing,"$1,569+","$2,106+","$2,485"
33,Hawthorne At Leland,https://www.rentcafe.com/apartments/nc/leland/hawthorne-at-leland/default.aspx,436 Hawthorne Loop Road,Leland,NC,4.50,28451,"$1,383+","$1,590+","$1,850+","$1,569+","$2,106+","$2,485"
34,Ayrsley Lofts,https://www.rentcafe.com/apartments/nc/charlotte/ayrsley-lofts/default.aspx,9336 Kings Parade Blvd,Charlotte,NC,4.50,28273,"$1,450+","$1,960+","$1,850+","$1,610+","$2,106+","$2,485"
35,Summerlin At Concord Apartment Homes,https://www.rentcafe.com/apartments/nc/concord/summerlin-at-concord-apartment-homes/default.aspx,500 Summerlake Drive,Concord,NC,4.50,28025,"$1,310+","$1,515+","$1,635+","$1,610+","$2,106+","$2,485"
36,Apartments @ Eleven240,https://www.rentcafe.com/apartments/nc/charlotte/apartments-eleven240/default.aspx,11240 Woolwich St,Charlotte,NC,4.00,28216,"$1,584+","$1,694+","$2,143","$1,610+","$2,106+","$2,485"
37,Liberty Pointe Apartments,https://www.rentcafe.com/apartments/nc/midway-park/liberty-pointe-apartments/default.aspx,1000 Yorktown Lane,Midway Park,NC,4.00,28544,"$1,584+","$1,694+","$2,143","$1,610+","$2,106+","$2,485"
38,Ascent Pineville,https://www.rentcafe.com/apartments/nc/charlotte/ascent-pineville/default.aspx,8401 Habersham Pointe Circle,Charlotte,NC,3.50,28226,"$1,295+","$1,595+","$2,143","$1,610+","$2,106+","$2,485"
39,Berkshire Chapel Hill,https://www.rentcafe.com/apartments/nc/chapel-hill/berkshire-chapel-hill/default.aspx,201 S. Elliott Road,Chapel Hill,NC,3.50,27514,"$1,976+",Ask for pricing,"$2,143","$1,610+","$2,106+","$2,485"
40,Hamilton Ridge,https://www.rentcafe.com/apartments/nc/raleigh/hamilton-ridge/default.aspx,4901 Tall Timber Drive,Raleigh,NC,3.50,27612,"$1,388+","$1,513+","$2,143","$1,610+","$2,106+","$2,485"
41,Pointe At Lake CrabTree,https://www.rentcafe.com/apartments/nc/morrisville/pointe-at-lake-crabtree/default.aspx,2599 Evans Road,Morrisville,NC,4.50,27560,"$1,530+","$1,755+","$2,230+","$1,610+","$2,106+","$2,485"
42,The Groves,https://www.rentcafe.com/apartments/nc/gastonia/the-groves3/default.aspx,526 Carl Street,Gastonia,NC,3.50,28056,"$1,050","$1,250","$2,230+","$1,610+","$2,106+","$2,485"
43,Talbert Woods Apartments And Townhomes,https://www.rentcafe.com/apartments/nc/mooresville/talbert-woods-townhomes/default.aspx,123 Talbert Woods Dr,Mooresville,NC,3.50,28117,"$1,230+","$1,445+","$1,890+","$1,610+","$2,106+","$2,485"
44,Mallard Creek,https://www.rentcafe.com/apartments/nc/charlotte/mallard-creek1/default.aspx,420 Michelle Linnea Drive,Charlotte,NC,3.50,28262,"$1,340","$1,579+","$1,890+","$1,610+","$2,106+","$2,485"
45,Belmont At Tryon Apartments,https://www.rentcafe.com/apartments/nc/charlotte/belmont-at-tryon/default.aspx,701 Sawyers Mill Road,Charlotte,NC,3.50,28262,"$1,280+","$1,525+","$1,890+","$1,610+","$2,106+","$2,485"
46,642 E Ketchie Street,https://www.rentcafe.com/apartments/nc/china-grove/642-e-ketchie-street/default.aspx,642 E Ketchie Street,China Grove,NC,3.50,28023,"$1,280+","$1,525+","$1,599","$1,610+","$2,106+","$2,485"
47,Heather Park Apartment Homes,https://www.rentcafe.com/apartments/nc/garner/heather-park-apartment-homes/default.aspx,725 Heather Park Dr,Garner,NC,4.00,27529,"$1,425+","$1,445+","$1,650+","$1,610+","$2,106+","$2,485"
48,Brassfield Park Apartments,https://www.rentcafe.com/apartments/nc/greensboro/brassfield-park-apartments/default.aspx,1921 New Garden Rd.,Greensboro,NC,4.50,27410,"$1,076+","$1,433+","$1,853+","$1,610+","$2,106+","$2,485"
49,Stephens Pointe,https://www.rentcafe.com/apartments/nc/wilmington/stephens-pointe/default.aspx,8651 Stephens Church Road,Wilmington,NC,3.00,28411,"$1,315+","$1,509","$1,749","$1,610+","$2,106+","$2,485"
50,Sawmill Point,https://www.rentcafe.com/apartments/nc/wilmington/sawmill-point/default.aspx,"1015 Nutt Street,,",Wilmington,NC,3.00,28401,"$1,550+","$2,000+","$1,749","$1,610+","$2,106+","$2,485"
51,Hawthorne At Smith Creek,https://www.rentcafe.com/apartments/nc/wilmington/hawthorne-at-smith-creek/default.aspx,"4641 Sweetfern Row,",Wilmington,NC,3.00,28411,"$1,534","$1,755",Ask for pricing,"$1,610+","$2,106+","$2,485"
52,Skyhouse,https://www.rentcafe.com/apartments/nc/raleigh/skyhouse-0/default.aspx,"308 S. Blount Street,",Raleigh,NC,3.00,27601,"$1,697+","$1,755",Ask for pricing,"$1,487+","$2,335+","$2,485"
53,UHill Apartments,https://www.rentcafe.com/apartments/nc/durham/university-hill0/default.aspx,"3806 University Drive,",Durham,NC,3.00,27707,"$1,742+","$1,755",Ask for pricing,"$1,968+","$2,269+","$2,485"
54,Beacon Hill,https://www.rentcafe.com/apartments/nc/charlotte/beacon-hill0/default.aspx,"1322 Beacon Ridge Road,",Charlotte,NC,3.00,28210,"$1,017+","$1,189+",Ask for pricing,"$1,968+","$2,269+","$2,485"
55,Emerald Bay,https://www.rentcafe.com/apartments/nc/charlotte/emerald-bay-5/default.aspx,"5029 Cherrycrest Ln,",Charlotte,NC,3.00,28217,"$1,017+","$1,189+",Ask for pricing,"$1,968+","$2,269+","$2,485"
56,Haven At Birkdale Village,https://www.rentcafe.com/apartments/nc/huntersville/birkdale-village-0/default.aspx,"16725 Birkdale Commons Pkwy,",Huntersville,NC,3.00,28078,"$1,365+","$1,189+",Ask for pricing,"$1,438+","$2,111+","$2,485"
57,130 Jo Creek Lane,https://www.rentcafe.com/apartments/nc/harmony/130-jo-creek-lane/default.aspx,"130 Jo Creek Lane,",Harmony,NC,3.00,28634,"$1,365+","$1,189+","$1,749","$1,438+","$2,111+","$2,485"
58,36 Oak Street,https://www.rentcafe.com/apartments/nc/china-grove/36-oak-street/default.aspx,"36 Oak Street,",China Grove,NC,3.00,28023,"$1,365+","$1,189+","$1,599","$1,438+","$2,111+","$2,485"
59,Summerlyn Place,https://www.rentcafe.com/apartments/nc/burlington/summerlyn-place1/default.aspx,"750 Boone Station Drive,",Burlington,NC,3.00,27215,"$1,275","$1,299",Ask for pricing,"$1,438+","$2,111+","$2,485"
60,Lemmond Farm,https://www.rentcafe.com/apartments/nc/charlotte/lemmond-farm/default.aspx,"12009 Lemmond Farm Drive,",Charlotte,NC,3.00,28227,"$1,486+","$1,830+","$2,883+","$1,438+","$2,111+","$2,485"
