,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,5 BEDS
0,The Estates At Ballantyne,https://www.rentcafe.com/apartments/nc/charlotte/the-estates-at-ballantyne/default.aspx,16311 Hawfield Way Drive,Charlotte,NC,4.00,28277,"$1,772+","$1,899+","$2,655+",,,
1,Centerview At Crossroads,https://www.rentcafe.com/apartments/nc/raleigh/1310-silver-sage-dr-raleigh-nc-27609/default.aspx,1310 Silver Sage Dr,Raleigh,NC,4.00,27606,"$1,425+","$1,678+","$2,338+",,,
2,The Estates At Legends,https://www.rentcafe.com/apartments/nc/hickory/the-estates-at-legends/default.aspx,2112 Mosteller Estate Ave SE,Hickory,NC,3.50,28602,Ask for pricing,"$1,475+",Ask for pricing,,,
3,Bexley Steelecroft,https://www.rentcafe.com/apartments/nc/charlotte/bexley-steelecroft/default.aspx,13900 Steelecroft Farm Lane,Charlotte,NC,3.50,28278,"$1,329+","$1,574+","$1,884+",,,
4,Stonebrook Apartment Homes,https://www.rentcafe.com/apartments/nc/mebane/stonebrook0/default.aspx,1301 E Dogwood Dr,Mebane,NC,4.50,27302,"$1,245","$1,445","$1,679+",,,
5,Ashley Forest,https://www.rentcafe.com/apartments/nc/110b-ashley-forest/ashley-forest/default.aspx,Ashley Forest,110B Ashley Forest,NC,4.50,27514,$500+,"$1,445","$1,679+",Ask for pricing,,
6,Peace Raleigh Apartments,https://www.rentcafe.com/apartments/nc/raleigh/peace-raleigh-apartments/default.aspx,417 West Peace Street,Raleigh,NC,5.00,27603,"$1,895+","$1,445","$1,679+","$1,632+","$2,645+",
7,The Garden At Wynslow Park,https://www.rentcafe.com/apartments/nc/raleigh/the-garden-at-wynslow-park/default.aspx,4211 Fox Rd.,Raleigh,NC,5.00,27616,"$1,270+","$1,500+","$1,899+","$1,632+","$2,645+",
8,Cypress Pond @ Porters Neck,https://www.rentcafe.com/apartments/nc/wilmington/cypress-pond-porters-neck/default.aspx,211 Cypress Pond Way,Wilmington,NC,4.00,28411,"$1,689+","$1,760+","$1,825+","$1,632+","$2,645+",
9,High House At Cary Apartments,https://www.rentcafe.com/apartments/nc/cary/high-house-at-cary-apartments/default.aspx,100 Terrastone Pl,Cary,NC,3.50,27519,"$1,334+","$1,607+","$2,271+","$1,632+","$2,645+",
10,Hawthorne At Friendly,https://www.rentcafe.com/apartments/nc/greensboro/hawthorne-at-friendly/default.aspx,900 Hobbs Road,Greensboro,NC,3.50,27410,Ask for pricing,"$1,607+","$2,271+",Ask for pricing,"$2,468",
11,Comet Bermuda Run,https://www.rentcafe.com/apartments/nc/bermuda-run/comet-bermuda-run/default.aspx,159 West Kinderton Way,Bermuda Run,NC,4.00,27006,"$1,350+","$1,720+","$2,271+",Ask for pricing,"$2,468",
12,The Aster,https://www.rentcafe.com/apartments/nc/cary/the-aster0/default.aspx,3025 Alston Manor Ct.,Cary,NC,4.00,27519,"$1,455+","$1,720+","$2,271+","$1,360+","$1,715+",
13,Redwood Concord,https://www.rentcafe.com/apartments/nc/concord/redwood-concord/default.aspx,335D Redwood Lane NW,Concord,NC,4.00,28027,"$1,455+","$2,347+","$2,271+","$1,360+","$1,715+",
14,The Eastern,https://www.rentcafe.com/apartments/nc/raleigh/the-eastern/default.aspx,4204 Six Forks Road,Raleigh,NC,4.50,27609,"$2,220+","$2,347+","$2,271+","$1,985+","$3,175+",
15,West Village,https://www.rentcafe.com/apartments/nc/durham/west-village2/default.aspx,605 W Main St Suite C,Durham,NC,4.50,27701,"$1,849+","$1,407+","$2,271+","$1,464+","$3,175+",
16,Bexley At Lake Norman,https://www.rentcafe.com/apartments/nc/cornelius/bexley-at-lake-norman/default.aspx,20705 Sterling Bay Lane East,Cornelius,NC,5.00,28031,"$1,445+","$1,714+","$1,940+","$1,464+","$3,175+",
17,Austin Creek Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/austin-creek-apartments/default.aspx,1131 Capeharbor Court,Fayetteville,NC,4.00,28314,"$1,445+","$1,250","$1,940+","$1,464+","$3,175+",
18,Karen Lake Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/2605-sapphire-drive-fayetteville-nc-28303/default.aspx,3605 Sapphire Drive,Fayetteville,NC,4.00,28303,"$1,445+","$1,250","$1,940+","$1,464+","$3,175+",
19,Atkins Circle Apartments And Townhomes,https://www.rentcafe.com/apartments/nc/charlotte/atkins-circle-apartments-and-townhomes/default.aspx,12506 Atkins Circle Dr,Charlotte,NC,3.50,28277,"$1,295+","$1,250","$1,940+","$1,270+","$1,590+",
20,Clairmont At Brier Creek,https://www.rentcafe.com/apartments/nc/raleigh/clairmont-at-brier-creek/default.aspx,7651 Brier Creek Parkway,Raleigh,NC,3.50,27617,"$1,320+","$1,250","$1,940+",Ask for pricing,"$1,570+",
21,Amelia Village,https://www.rentcafe.com/apartments/nc/clayton/amelia-village/default.aspx,1070 Kenmore Dr,Clayton,NC,3.50,27520,"$1,349+","$1,479+","$1,949",Ask for pricing,"$1,570+",
22,Hunters Pointe,https://www.rentcafe.com/apartments/nc/charlotte/hunters-pointe-0/default.aspx,1841 Prospect Dr,Charlotte,NC,3.00,28213,$980+,"$1,071+","$1,361+",Ask for pricing,"$1,570+",
23,Delta Crossing,https://www.rentcafe.com/apartments/nc/charlotte/delta-crossing1/default.aspx,6000 Delta Crossing Lane,Charlotte,NC,3.00,28212,"$1,239+","$1,597+",Ask for pricing,Ask for pricing,"$1,570+",
24,Haw Creek Mews Apartments And Townhomes,https://www.rentcafe.com/apartments/nc/asheville/haw-creek-mews-townhomes/default.aspx,145 Haw Creek Mews Dr,Asheville,NC,3.00,28805,Ask for pricing,"$1,520+","$1,835+",Ask for pricing,"$1,570+",
25,Hawthorne At Southside,https://www.rentcafe.com/apartments/nc/asheville/hawthorne-at-southside-0/default.aspx,99 Turtle Creek Drive,Asheville,NC,3.00,28803,"$1,371","$1,520+","$1,835+",Ask for pricing,"$1,499+",
26,618 N BOYLAN AVE UNIT 1028,https://www.rentcafe.com/apartments/nc/raleigh/618-n-boylan-ave-unit-1028/default.aspx,618 N Boylan Ave Unit 1028,Raleigh,NC,3.00,27603,"$1,371","$2,800","$1,835+",Ask for pricing,"$1,499+",
27,Brookwood,https://www.rentcafe.com/apartments/nc/archdale/brookwood0/default.aspx,900 Brookwood Circle,Archdale,NC,3.00,27263,$824+,"$2,800","$1,835+",Ask for pricing,$966+,
28,Lake Brandt Apartments,https://www.rentcafe.com/apartments/nc/greensboro/lake-brandt-apartments/default.aspx,2403 Lake Brandt Place,Greensboro,NC,4.00,27455,"$1,115+","$1,308+","$1,632+",Ask for pricing,$966+,
29,Summit Eastchester,https://www.rentcafe.com/apartments/nc/high-point/ambassador-court/default.aspx,2501 Ambassador Court,High Point,NC,3.00,27265,$909+,$971+,"$1,298+",Ask for pricing,$966+,
30,Remington Place,https://www.rentcafe.com/apartments/nc/raleigh/remington-place1/default.aspx,1909 Eyrie Court,Raleigh,NC,3.00,27606,"$1,278+","$1,551+","$1,298+",Ask for pricing,$966+,
31,Four Seasons Villas,https://www.rentcafe.com/apartments/nc/greensboro/four-seasons-villas/default.aspx,500 Savannah St,Greensboro,NC,3.00,27406,"$1,278+","$1,551+","$1,298+",Ask for pricing,$966+,
32,Falls Creek Apartments And Townhomes,https://www.rentcafe.com/apartments/nc/raleigh/falls-creek-apartments-townhomes/default.aspx,8800 Cattail Creek Place,Raleigh,NC,3.50,27616,"$1,200+","$1,540+",Ask for pricing,Ask for pricing,$966+,
33,The Residence At Southpark,https://www.rentcafe.com/apartments/nc/charlotte/the-residence-at-southpark-0/default.aspx,4300 Sharon Road,Charlotte,NC,3.50,28211,"$3,545+","$4,279+","$6,291+",Ask for pricing,$966+,
34,Moses Court Apartment Homes,https://www.rentcafe.com/apartments/nc/raleigh/moses-court-900a-h-901a-h/default.aspx,900/901 Moses Court,Raleigh,NC,3.50,27604,"$3,545+","$4,279+","$6,291+",Ask for pricing,$966+,
35,Mayfaire Flats,https://www.rentcafe.com/apartments/nc/wilmington/mayfaire-flats/default.aspx,1813 Sir Tyler Drive,Wilmington,NC,4.00,28411,"$1,590+","$1,922+","$6,291+",Ask for pricing,$966+,
36,Legacy Pointe Apartments,https://www.rentcafe.com/apartments/nc/greensboro/legacy-pointe-apartments1/default.aspx,9 Summertree Lane,Greensboro,NC,4.00,27406,$950,"$1,045+","$6,291+",Ask for pricing,$966+,
37,Brizo,https://www.rentcafe.com/apartments/nc/durham/brizo7/default.aspx,1108 Merrion Avenue,Durham,NC,4.50,27703,"$1,772+","$1,800+","$2,123+",Ask for pricing,$966+,
38,Townhomes At Little Creek,https://www.rentcafe.com/apartments/nc/winston-salem/townhomes-at-little-creek/default.aspx,4343 Johnsborough Ct,Winston Salem,NC,3.50,27104,Ask for pricing,"$1,200","$2,123+",Ask for pricing,$966+,Ask for pricing
39,800 St. Marys Apartments,https://www.rentcafe.com/apartments/nc/raleigh/800-st-marys/default.aspx,600 St Marys St,Raleigh,NC,3.50,27605,"$2,435+","$1,200","$2,123+",Ask for pricing,"$2,177+",Ask for pricing
40,Marion Ridge,https://www.rentcafe.com/apartments/nc/shelby/marion-ridge0/default.aspx,1829 E Marion St,Shelby,NC,3.50,28152,"$2,435+","$1,200","$2,123+",Ask for pricing,"$2,177+",Ask for pricing
41,Blue Bell At Lenoir Mills,https://www.rentcafe.com/apartments/nc/lenoir/blue-bell-at-lenoir-mills/default.aspx,1241 College Avenue,Lenoir,NC,3.50,28645,"$1,300","$1,400+","$2,123+",Ask for pricing,"$2,177+",Ask for pricing
42,Autumn Woods,https://www.rentcafe.com/apartments/nc/carrboro/autumn-woods-4/default.aspx,222 Old Fayetteville Road,Carrboro,NC,4.50,27510,"$1,397+","$1,417+","$2,362+",Ask for pricing,"$2,177+",Ask for pricing
43,Magnolia South,https://www.rentcafe.com/apartments/nc/holly-springs/magnolia-south/default.aspx,1000 Sweet Almond Drive,Holly Springs,NC,4.00,27540,"$1,435+","$1,660+","$2,362+",Ask for pricing,"$2,177+",Ask for pricing
44,Meridian At Sutton Square,https://www.rentcafe.com/apartments/nc/raleigh/meridian-at-sutton-square/default.aspx,700 Spring Falls Drive,Raleigh,NC,4.00,27609,"$1,458","$1,896",Ask for pricing,Ask for pricing,"$2,177+",Ask for pricing
45,The Pointe At Heritage,https://www.rentcafe.com/apartments/nc/wake-forest/the-pointe-at-heritage/default.aspx,1747 Alexander Springs Lane,Wake Forest,NC,4.00,27587,"$1,340","$1,595","$2,280",Ask for pricing,"$2,177+",Ask for pricing
46,The Bristol,https://www.rentcafe.com/apartments/nc/morrisville/the-bristol/default.aspx,3016 Bristol Creek Drive,Morrisville,NC,4.00,27560,"$1,685+","$1,759+",Ask for pricing,Ask for pricing,"$2,177+",Ask for pricing
47,Heights Lasalle,https://www.rentcafe.com/apartments/nc/durham/heights-lasalle/default.aspx,500 South Lasalle Street,Durham,NC,4.00,27705,"$1,461+","$1,942+",Ask for pricing,"$1,918+","$2,177+",Ask for pricing
48,St. Andrews Reserve,https://www.rentcafe.com/apartments/nc/wilmington/st-andrews-reserve/default.aspx,814 St. Andrews Dr.,Wilmington,NC,4.00,28412,"$1,245+","$1,478+","$1,833+","$1,918+","$2,177+",Ask for pricing
49,Trenton Mill Lofts,https://www.rentcafe.com/apartments/nc/gastonia/612-w-main-ave-gastonia-nc-28052/default.aspx,612 W Main Ave,Gastonia,NC,5.00,28052,"$1,595","$1,730","$1,833+",Ask for pricing,"$2,177+",Ask for pricing
