,name,link,address,city,state,ratings,zipcode,1 BED,Studio,2 BEDS,3 BEDS,2+ BEDS,3+ BEDS
28,Millis And Main At Grandover,https://www.rentcafe.com/apartments/nc/jamestown/millis-and-main-at-grandover/default.aspx,4301 Millis Road,Jamestown,NC,4.00,27282,"$1,400",Ask for pricing,"$1,524+","$1,950",Ask for pricing,"$2,400"
29,Berkshire Ninth Street,https://www.rentcafe.com/apartments/nc/durham/berkshire-ninth-street/default.aspx,749 Ninth Street,Durham,NC,4.50,27705,Ask for pricing,"$1,788+","$1,524+","$1,950",Ask for pricing,"$2,400"
30,Blackwolf Run At Hedingham,https://www.rentcafe.com/apartments/nc/raleigh/blackwolf-run0/default.aspx,2101 Blackwolf Run Lane,Raleigh,NC,4.50,27604,"$1,387+","$1,788+","$1,629+","$1,746+",Ask for pricing,"$2,400"
31,Waters Edge Apartment Homes,https://www.rentcafe.com/apartments/nc/concord/waters-edge-apartment-homes-nc/default.aspx,100 Waterview Dr,Concord,NC,4.00,28027,"$1,195+","$1,045+","$1,629+","$1,746+","$1,350+","$2,400"
32,Arbor Glen,https://www.rentcafe.com/apartments/nc/eden/arbor-glen2/default.aspx,643 S Pierce St,Eden,NC,4.00,27288,"$1,195+","$1,045+","$1,629+","$1,746+","$1,350+","$2,400"
33,Elevate Haw River*,https://www.rentcafe.com/apartments/nc/graham/elevate-haw-river0/default.aspx,2310 Vantage Point,Graham,NC,4.00,27253,"$1,270+","$1,045+","$1,450+","$2,175+","$1,350+","$2,400"
34,Village At Cliffdale Apartment Homes,https://www.rentcafe.com/apartments/nc/fayetteville/village-at-cliffdale-apartment-homes/default.aspx,567 Cutchen Lane,Fayetteville,NC,3.50,28314,$955+,"$1,045+","$1,050+","$1,425+","$1,350+","$2,400"
35,Ellington Farms,https://www.rentcafe.com/apartments/nc/wilmington/ellington-farms-1/default.aspx,505 Vorils Lane,Wilmington,NC,3.50,28411,$955+,"$1,045+","$1,050+","$1,425+","$1,350+","$2,400"
36,Stonehenge,https://www.rentcafe.com/apartments/nc/raleigh/stonehenge-4/default.aspx,7303 Hihenge Ct,Raleigh,NC,4.50,27615,"$1,240+","$1,045+","$1,475+","$1,940+","$1,350+","$2,400"
37,LaVie SouthPark,https://www.rentcafe.com/apartments/nc/charlotte/lavie-southpark0/default.aspx,5725 Carnegie Blvd,Charlotte,NC,3.50,28209,"$1,518+",Ask for pricing,"$2,125+","$1,940+","$1,350+","$2,400"
